cui1,rel,cui2_raw,cui2_resolved,rela,sab,cui2_name
C0000771,RO,A20928668,C0317592,may_treat,MED-RT,Lactobacillus helveticus
C0000771,RO,A32655818,C0317593,may_treat,MED-RT,Ligilactobacillus salivarius
C0000771,RO,A32655782,C0317597,may_treat,MED-RT,Lacticaseibacillus rhamnosus
C0000771,RO,A32656225,C0317608,may_treat,MED-RT,Lactiplantibacillus plantarum
C0000771,RO,A29728801,C0317614,may_treat,MED-RT,Lactobacillus crispatus
C0000771,RO,A32655738,C0317625,may_treat,MED-RT,Limosilactobacillus reuteri
C0000771,RO,A31733711,C0357701,may_treat,MED-RT,physostigmine sulfate
C0000771,RO,A31720854,C0596004,may_treat,MED-RT,hyoscyamine
C0000771,RO,A10337150,C0700607,may_prevent,MED-RT,digoxin antibodies Fab fragments
C0000771,RO,A12669755,C0772177,may_treat,MED-RT,Lactobacillus bifidus
C0000771,RO,A31721621,C3661459,may_treat,MED-RT,hyoscyamine sulfate anhydrous
C0000771,RO,A24115169,C3848530,may_treat,MED-RT,edrophonium cation
C0000771,RO,A26944735,C4083129,may_prevent,MED-RT,ovine digoxin immune fab
C0000771,RO,A32656453,C5443862,may_treat,MED-RT,Lacticaseibacillus rhamnosus GG
C0000771,RO,A35663514,C5827726,may_treat,MED-RT,Lactobacillus acidophilus BCMC 12130
C0000771,RO,A36014214,C5873553,may_treat,MED-RT,Limosilactobacillus reuteri subsp. reuteri F275
C0000771,RO,A37380099,C5982303,may_treat,MED-RT,Lactiplantibacillus plantarum 299
C0000786,RO,A31690533,C0012203,may_prevent,MED-RT,diethylstilbestrol
C0000786,RO,A31761164,C0013340,may_prevent,MED-RT,dydrogesterone
C0000786,RO,A31712513,C0025760,contraindicated_with_disease,MED-RT,methylergonovine
C0000786,RO,A16791844,C0044971,may_prevent,MED-RT,hydroxyprogesterone caproate (USP)
C0000786,RO,A31728697,C0045010,may_prevent,MED-RT,17-alpha-hydroxyprogesterone
C0000786,RO,A31696116,C0289432,contraindicated_with_disease,MED-RT,methylergonovine maleate
C0000786,RO,A31681892,C0770351,may_prevent,MED-RT,hydroxyprogesterone acetate
C0000810,RO,A31739892,C0007047,may_treat,MED-RT,carboprost
C0000810,RO,A16794301,C0054721,may_treat,MED-RT,carboprost tromethamine
C0000814,RO,A31696744,C0033308,contraindicated_with_disease,MED-RT,progesterone
C0000814,RO,A16791844,C0044971,contraindicated_with_disease,MED-RT,hydroxyprogesterone caproate (USP)
C0000814,RO,A31728697,C0045010,contraindicated_with_disease,MED-RT,17-alpha-hydroxyprogesterone
C0000814,RO,A31681892,C0770351,contraindicated_with_disease,MED-RT,hydroxyprogesterone acetate
C0000814,RO,A16797042,C0873071,contraindicated_with_disease,MED-RT,"progesterone, micronized"
C0000821,RO,A31703499,C0005640,contraindicated_with_disease,MED-RT,dicumarol
C0000821,RO,A31690582,C0012288,contraindicated_with_disease,MED-RT,dihydroergocornine
C0000821,RO,A31655968,C0012289,contraindicated_with_disease,MED-RT,dihydroergocristine
C0000821,RO,A31708074,C0012290,contraindicated_with_disease,MED-RT,dihydroergocryptine
C0000821,RO,A31638522,C0012291,contraindicated_with_disease,MED-RT,dihydroergotamine
C0000821,RO,A31742901,C0012294,contraindicated_with_disease,MED-RT,dihydroergotoxine
C0000821,RO,A31709832,C0014704,contraindicated_with_disease,MED-RT,ergonovine
C0000821,RO,A31765549,C0031444,contraindicated_with_disease,MED-RT,phenprocoumon
C0000821,RO,A31630104,C0043031,contraindicated_with_disease,MED-RT,warfarin
C0000821,RO,A10336870,C0051919,contraindicated_with_disease,MED-RT,anisindione
C0000821,RO,A31741254,C0059514,contraindicated_with_disease,MED-RT,ergonovine maleate
C0000821,RO,A31762342,C0086158,contraindicated_with_disease,MED-RT,dihydroergocornine mesylate
C0000821,RO,A31692668,C0086159,contraindicated_with_disease,MED-RT,dihydroergocristine monomesylate
C0000821,RO,A31744926,C0086160,contraindicated_with_disease,MED-RT,dihydroergocryptine mesylate
C0000821,RO,A31762344,C0086248,contraindicated_with_disease,MED-RT,ergotamine tartrate
C0000821,RO,A31765590,C0282378,contraindicated_with_disease,MED-RT,warfarin potassium
C0000821,RO,A31732040,C0304712,contraindicated_with_disease,MED-RT,ergot preparation
C0000821,RO,A31717168,C0376218,contraindicated_with_disease,MED-RT,warfarin sodium
C0000821,RO,A31704983,C0700532,contraindicated_with_disease,MED-RT,dihydroergotamine mesylate
C0000821,RO,A31671575,C0771983,contraindicated_with_disease,MED-RT,dihydroergotamine tartrate
C0000833,RO,A31671032,C0007555,may_treat,MED-RT,cefotetan
C0000833,RO,A31705767,C0007557,may_treat,MED-RT,cefoxitin
C0000833,RO,A31695093,C0025872,may_treat,MED-RT,metronidazole
C0000833,RO,A31713496,C0282239,may_treat,MED-RT,metronidazole hydrochloride
C0000833,RO,A31698282,C0353490,may_treat,MED-RT,metronidazole benzoate
C0000833,RO,A31757148,C0700446,may_treat,MED-RT,cefoxitin sodium
C0000833,RO,A31739811,C0700471,may_treat,MED-RT,cefotetan disodium
C0000880,RO,A31694656,C0022625,may_treat,MED-RT,ketoconazole
C0000880,RO,A33639666,C4550366,may_treat,MED-RT,levoketoconazole
C0000946,RO,A28939656,C0007220,therapeutic_class_of,MED-RT,Cardiovascular Agent
C0000946,RO,A0051521,C0013182,has_contraindicated_drug,MED-RT,Drug Hypersensitivity
C0000946,RO,A12985263,C0018801,has_contraindicated_drug,MED-RT,Heart Failure
C0000946,RO,A0071436,C0020649,has_contraindicated_drug,MED-RT,Hypotension
C0000946,RO,A0104436,C0032961,has_contraindicated_drug,MED-RT,Pregnancy
C0000946,RO,A0107751,C0034063,has_contraindicated_drug,MED-RT,Pulmonary Edema
