cui1,rel,cui2,rela,sab
C0000821,RO,A31692668,contraindicated_with_disease,MED-RT
C0000821,RO,A31744926,contraindicated_with_disease,MED-RT
C0000821,RO,A31762344,contraindicated_with_disease,MED-RT
C0000821,RO,A31765590,contraindicated_with_disease,MED-RT
C0000821,RO,A31732040,contraindicated_with_disease,MED-RT
C0000821,RO,A31717168,contraindicated_with_disease,MED-RT
C0000821,RO,A31704983,contraindicated_with_disease,MED-RT
C0000821,RO,A31671575,contraindicated_with_disease,MED-RT
C0000833,RO,A31671032,may_treat,MED-RT
C0000833,RO,A31705767,may_treat,MED-RT
C0000833,RO,A31695093,may_treat,MED-RT
C0000833,RO,A31713496,may_treat,MED-RT
C0000833,RO,A31698282,may_treat,MED-RT
C0000833,RO,A31757148,may_treat,MED-RT
C0000833,RO,A31739811,may_treat,MED-RT
C0000880,RO,A31694656,may_treat,MED-RT
C0000880,RO,A33639666,may_treat,MED-RT
C0000946,RO,A28939656,therapeutic_class_of,MED-RT
C0000946,RO,A0051521,has_contraindicated_drug,MED-RT
C0000946,RO,A12985263,has_contraindicated_drug,MED-RT
C0000946,RO,A0071436,has_contraindicated_drug,MED-RT
C0000946,RO,A0104436,has_contraindicated_drug,MED-RT
C0000946,RO,A0107751,has_contraindicated_drug,MED-RT
C0000946,RO,A0116150,has_contraindicated_drug,MED-RT
C0000946,RO,A0116372,has_contraindicated_drug,MED-RT
C0000946,RO,A0032418,has_contraindicated_drug,MED-RT
C0000948,RO,A30275382,therapeutic_class_of,MED-RT
C0000970,RO,A28936840,therapeutic_class_of,MED-RT
C0000970,RO,A0051521,has_contraindicated_drug,MED-RT
C0000970,RO,A0080699,has_contraindicated_drug,MED-RT
C0000970,RO,A0063838,has_contraindicated_drug,MED-RT
C0000981,RO,A0018901,has_contraindicated_drug,MED-RT
C0000981,RO,A0020267,has_contraindicated_drug,MED-RT
C0000981,RO,A28936584,therapeutic_class_of,MED-RT
C0000981,RO,A28939656,therapeutic_class_of,MED-RT
C0000981,RO,A0051521,has_contraindicated_drug,MED-RT
C0000981,RO,A0057015,has_contraindicated_drug,MED-RT
C0000981,RO,A0063450,has_contraindicated_drug,MED-RT
C0000981,RO,A0071276,has_contraindicated_drug,MED-RT
C0000981,RO,A0071307,has_contraindicated_drug,MED-RT
C0000981,RO,A0077214,has_contraindicated_drug,MED-RT
C0000981,RO,A0080689,has_contraindicated_drug,MED-RT
