cui1,rel,cui2,rela,sab
C0019080,RO,A18430324,contraindicated_with_disease,MED-RT
C0019080,RO,A16793073,contraindicated_with_disease,MED-RT
C0019080,RO,A10337079,contraindicated_with_disease,MED-RT
C0019080,RO,A10337213,contraindicated_with_disease,MED-RT
C0019080,RO,A10338569,contraindicated_with_disease,MED-RT
C0019080,RO,A16796153,contraindicated_with_disease,MED-RT
C0019080,RO,A16793079,contraindicated_with_disease,MED-RT
C0019080,RO,A16796758,contraindicated_with_disease,MED-RT
C0019080,RO,A16796759,contraindicated_with_disease,MED-RT
C0019080,RO,A31657651,contraindicated_with_disease,MED-RT
C0019080,RO,A31657652,contraindicated_with_disease,MED-RT
C0019080,RO,A31675369,may_treat,MED-RT
C0019080,RO,A27418779,contraindicated_with_disease,MED-RT
C0019080,RO,A16794328,contraindicated_with_disease,MED-RT
C0019080,RO,A16796792,contraindicated_with_disease,MED-RT
C0019080,RO,A31643466,contraindicated_with_disease,MED-RT
C0019080,RO,A31661238,contraindicated_with_disease,MED-RT
C0019080,RO,A31765590,contraindicated_with_disease,MED-RT
C0019080,RO,A10338550,contraindicated_with_disease,MED-RT
C0019080,RO,A31749254,contraindicated_with_disease,MED-RT
C0019080,RO,A31662508,contraindicated_with_disease,MED-RT
C0019080,RO,A31717168,contraindicated_with_disease,MED-RT
C0019080,RO,A10339483,contraindicated_with_disease,MED-RT
C0019080,RO,A16794462,may_prevent,MED-RT
C0019080,RO,A16794462,may_treat,MED-RT
C0019080,RO,A31704979,contraindicated_with_disease,MED-RT
C0019080,RO,A31653725,may_prevent,MED-RT
C0019080,RO,A31653725,may_treat,MED-RT
C0019080,RO,A31636295,contraindicated_with_disease,MED-RT
C0019080,RO,A31706301,contraindicated_with_disease,MED-RT
C0019080,RO,A27406986,contraindicated_with_disease,MED-RT
C0019080,RO,A27409863,contraindicated_with_disease,MED-RT
C0019080,RO,A31723900,contraindicated_with_disease,MED-RT
C0019080,RO,A31741180,contraindicated_with_disease,MED-RT
C0019080,RO,A31688856,contraindicated_with_disease,MED-RT
C0019080,RO,A31671587,contraindicated_with_disease,MED-RT
C0019080,RO,A27388824,may_prevent,MED-RT
C0019080,RO,A27388824,may_treat,MED-RT
C0019080,RO,A16797039,may_prevent,MED-RT
C0019080,RO,A16797039,may_treat,MED-RT
C0019080,RO,A23604204,may_treat,MED-RT
C0019080,RO,A16952135,contraindicated_with_disease,MED-RT
C0019080,RO,A31724406,contraindicated_with_disease,MED-RT
C0019080,RO,A31667017,may_prevent,MED-RT
C0019080,RO,A31667017,may_treat,MED-RT
C0019080,RO,A31759487,may_treat,MED-RT
C0019080,RO,A33561396,may_treat,MED-RT
C0019080,RO,A21076916,contraindicated_with_disease,MED-RT
C0019080,RO,A31742260,contraindicated_with_disease,MED-RT
C0019080,RO,A24780445,contraindicated_with_disease,MED-RT
C0019080,RO,A10480501,contraindicated_with_disease,MED-RT
C0019080,RO,A16795943,contraindicated_with_disease,MED-RT
C0019080,RO,A23602602,may_prevent,MED-RT
C0019080,RO,A23602602,may_treat,MED-RT
C0019080,RO,A31762053,contraindicated_with_disease,MED-RT
C0019080,RO,A33486614,may_treat,MED-RT
C0019080,RO,A21076867,contraindicated_with_disease,MED-RT
C0019080,RO,A18538794,contraindicated_with_disease,MED-RT
C0019080,RO,A19398536,contraindicated_with_disease,MED-RT
C0019080,RO,A21091485,contraindicated_with_disease,MED-RT
C0019080,RO,A23323192,may_treat,MED-RT
C0019080,RO,A25781947,contraindicated_with_disease,MED-RT
C0019080,RO,A33487097,may_treat,MED-RT
C0019080,RO,A33487054,may_treat,MED-RT
C0019080,RO,A28315219,contraindicated_with_disease,MED-RT
C0019080,RO,A24774675,contraindicated_with_disease,MED-RT
C0019080,RO,A31684329,may_prevent,MED-RT
C0019080,RO,A31684329,may_treat,MED-RT
C0019080,RO,A26943705,may_prevent,MED-RT
C0019080,RO,A26943705,may_treat,MED-RT
C0019080,RO,A23840527,contraindicated_with_disease,MED-RT
C0019080,RO,A23407361,may_prevent,MED-RT
C0019080,RO,A23407361,may_treat,MED-RT
C0019080,RO,A37384227,may_prevent,MED-RT
C0019080,RO,A26688761,may_prevent,MED-RT
C0019080,RO,A26688761,may_treat,MED-RT
C0019080,RO,A27880821,may_prevent,MED-RT
C0019080,RO,A27880821,may_treat,MED-RT
C0019080,RO,A23835063,contraindicated_with_disease,MED-RT
C0019080,RO,A24171237,may_prevent,MED-RT
C0019080,RO,A24171237,may_treat,MED-RT
C0019080,RO,A25781162,may_prevent,MED-RT
C0019080,RO,A25781162,may_treat,MED-RT
C0019080,RO,A26944721,may_prevent,MED-RT
C0019080,RO,A26944721,may_treat,MED-RT
C0019080,RO,A29364646,may_treat,MED-RT
C0019080,RO,A26698076,may_prevent,MED-RT
C0019080,RO,A26698076,may_treat,MED-RT
C0019080,RO,A27076579,may_prevent,MED-RT
C0019080,RO,A27076579,may_treat,MED-RT
C0019080,RO,A28315232,contraindicated_with_disease,MED-RT
C0019080,RO,A29362897,may_treat,MED-RT
C0019080,RO,A36804389,contraindicated_with_disease,MED-RT
C0019080,RO,A37482510,may_prevent,MED-RT
C0019080,RO,A31560955,may_prevent,MED-RT
C0019080,RO,A31560955,may_treat,MED-RT
C0019080,RO,A32329895,may_prevent,MED-RT
C0019080,RO,A32329895,may_treat,MED-RT
C0019080,RO,A33199260,contraindicated_with_disease,MED-RT
C0019080,RO,A35709091,may_prevent,MED-RT
C0019080,RO,A35709091,may_treat,MED-RT
C0019080,RO,A36801815,contraindicated_with_disease,MED-RT
C0019080,RO,A37380192,may_prevent,MED-RT
C0019087,RO,A31660138,contraindicated_with_disease,MED-RT
C0019087,RO,A10334698,contraindicated_with_disease,MED-RT
C0019087,RO,A31753290,contraindicated_with_disease,MED-RT
C0019087,RO,A10334851,contraindicated_with_disease,MED-RT
C0019087,RO,A31637294,contraindicated_with_disease,MED-RT
C0019087,RO,A31641473,contraindicated_with_disease,MED-RT
C0019087,RO,A31695124,contraindicated_with_disease,MED-RT
C0019087,RO,A31642965,contraindicated_with_disease,MED-RT
C0019087,RO,A24634830,contraindicated_with_disease,MED-RT
C0019087,RO,A31632939,contraindicated_with_disease,MED-RT
C0019087,RO,A31751585,contraindicated_with_disease,MED-RT
C0019087,RO,A10387158,contraindicated_with_disease,MED-RT
C0019087,RO,A31689378,contraindicated_with_disease,MED-RT
C0019087,RO,A24636387,contraindicated_with_disease,MED-RT
C0019087,RO,A31725843,contraindicated_with_disease,MED-RT
C0019087,RO,A31693527,contraindicated_with_disease,MED-RT
C0019087,RO,A10339480,contraindicated_with_disease,MED-RT
C0019087,RO,A31764562,contraindicated_with_disease,MED-RT
C0019087,RO,A31694989,contraindicated_with_disease,MED-RT
C0019087,RO,A31642842,contraindicated_with_disease,MED-RT
C0019087,RO,A10338132,contraindicated_with_disease,MED-RT
C0019087,RO,A10338134,contraindicated_with_disease,MED-RT
C0019087,RO,A10339498,contraindicated_with_disease,MED-RT
C0019087,RO,A10340651,contraindicated_with_disease,MED-RT
C0019087,RO,A10338312,contraindicated_with_disease,MED-RT
C0019087,RO,A31660814,contraindicated_with_disease,MED-RT
C0019087,RO,A31730819,contraindicated_with_disease,MED-RT
C0019087,RO,A16791892,contraindicated_with_disease,MED-RT
C0019087,RO,A10347344,contraindicated_with_disease,MED-RT
C0019087,RO,A31697175,contraindicated_with_disease,MED-RT
C0019087,RO,A31681064,contraindicated_with_disease,MED-RT
C0019087,RO,A31685246,contraindicated_with_disease,MED-RT
C0019087,RO,A10381438,contraindicated_with_disease,MED-RT
C0019087,RO,A31685676,contraindicated_with_disease,MED-RT
C0019087,RO,A31740697,contraindicated_with_disease,MED-RT
C0019087,RO,A31654219,contraindicated_with_disease,MED-RT
C0019087,RO,A31759030,contraindicated_with_disease,MED-RT
C0019087,RO,A31724405,contraindicated_with_disease,MED-RT
C0019087,RO,A31724406,contraindicated_with_disease,MED-RT
C0019087,RO,A10381491,contraindicated_with_disease,MED-RT
C0019087,RO,A31706956,contraindicated_with_disease,MED-RT
C0019087,RO,A31759156,contraindicated_with_disease,MED-RT
C0019087,RO,A31724498,contraindicated_with_disease,MED-RT
C0019087,RO,A31637742,contraindicated_with_disease,MED-RT
C0019087,RO,A26700400,contraindicated_with_disease,MED-RT
C0019087,RO,A19300285,contraindicated_with_disease,MED-RT
C0019087,RO,A16788922,contraindicated_with_disease,MED-RT
C0019087,RO,A17285820,contraindicated_with_disease,MED-RT
C0019087,RO,A16791403,contraindicated_with_disease,MED-RT
C0019087,RO,A31689726,contraindicated_with_disease,MED-RT
C0019087,RO,A17390867,contraindicated_with_disease,MED-RT
C0019087,RO,A16792659,contraindicated_with_disease,MED-RT
C0019087,RO,A29794516,contraindicated_with_disease,MED-RT
C0019087,RO,A19304898,contraindicated_with_disease,MED-RT
C0019087,RO,A18539106,contraindicated_with_disease,MED-RT
C0019087,RO,A16796400,contraindicated_with_disease,MED-RT
C0019087,RO,A17284627,contraindicated_with_disease,MED-RT
C0019087,RO,A31707286,contraindicated_with_disease,MED-RT
C0019087,RO,A17387032,contraindicated_with_disease,MED-RT
C0019087,RO,A25782144,contraindicated_with_disease,MED-RT
C0019087,RO,A17480488,contraindicated_with_disease,MED-RT
C0019087,RO,A17481276,contraindicated_with_disease,MED-RT
C0019087,RO,A20962199,contraindicated_with_disease,MED-RT
C0019087,RO,A31742296,contraindicated_with_disease,MED-RT
C0019087,RO,A31725063,contraindicated_with_disease,MED-RT
C0019087,RO,A31702500,contraindicated_with_disease,MED-RT
C0019087,RO,A31702353,contraindicated_with_disease,MED-RT
C0019087,RO,A31668145,contraindicated_with_disease,MED-RT
C0019087,RO,A10480514,contraindicated_with_disease,MED-RT
C0019087,RO,A31672715,contraindicated_with_disease,MED-RT
C0019087,RO,A28747865,contraindicated_with_disease,MED-RT
C0019087,RO,A31689963,contraindicated_with_disease,MED-RT
C0019087,RO,A29794586,contraindicated_with_disease,MED-RT
C0019087,RO,A29792891,contraindicated_with_disease,MED-RT
C0019087,RO,A29792037,contraindicated_with_disease,MED-RT
C0019087,RO,A29796277,contraindicated_with_disease,MED-RT
C0019087,RO,A20966759,contraindicated_with_disease,MED-RT
C0019087,RO,A31632461,contraindicated_with_disease,MED-RT
C0019087,RO,A16796318,contraindicated_with_disease,MED-RT
C0019087,RO,A24115163,contraindicated_with_disease,MED-RT
C0019087,RO,A16790151,contraindicated_with_disease,MED-RT
C0019087,RO,A16790156,contraindicated_with_disease,MED-RT
C0019087,RO,A16791423,contraindicated_with_disease,MED-RT
C0019087,RO,A16797573,contraindicated_with_disease,MED-RT
C0019087,RO,A16792702,contraindicated_with_disease,MED-RT
C0019087,RO,A16793937,contraindicated_with_disease,MED-RT
C0019087,RO,A16797619,contraindicated_with_disease,MED-RT
C0019087,RO,A29792934,contraindicated_with_disease,MED-RT
C0019087,RO,A16790258,contraindicated_with_disease,MED-RT
C0019087,RO,A32657499,contraindicated_with_disease,MED-RT
C0019087,RO,A17287450,contraindicated_with_disease,MED-RT
C0019087,RO,A17286157,contraindicated_with_disease,MED-RT
C0019087,RO,A17041457,contraindicated_with_disease,MED-RT
C0019087,RO,A18537263,contraindicated_with_disease,MED-RT
C0019087,RO,A20968000,contraindicated_with_disease,MED-RT
C0019087,RO,A29796440,contraindicated_with_disease,MED-RT
C0019087,RO,A17295073,contraindicated_with_disease,MED-RT
C0019087,RO,A29798176,contraindicated_with_disease,MED-RT
C0019087,RO,A24226618,contraindicated_with_disease,MED-RT
C0019087,RO,A20968675,contraindicated_with_disease,MED-RT
C0019087,RO,A24229384,contraindicated_with_disease,MED-RT
C0019087,RO,A28261581,contraindicated_with_disease,MED-RT
C0019087,RO,A32277189,contraindicated_with_disease,MED-RT
C0019087,RO,A29735236,contraindicated_with_disease,MED-RT
C0019087,RO,A29966193,contraindicated_with_disease,MED-RT
C0019112,RO,A31702561,may_treat,MED-RT
C0019112,RO,A31728695,may_treat,MED-RT
C0019112,RO,A31748176,may_treat,MED-RT
C0019112,RO,A31765553,may_treat,MED-RT
C0019112,RO,A31679580,may_treat,MED-RT
C0019112,RO,A16790585,may_treat,MED-RT
C0019112,RO,A21264760,may_treat,MED-RT
C0019112,RO,A16791856,may_treat,MED-RT
C0019112,RO,A16790591,may_treat,MED-RT
C0019112,RO,A10337711,may_treat,MED-RT
C0019112,RO,A16793084,may_treat,MED-RT
C0019112,RO,A31694367,may_treat,MED-RT
C0019112,RO,A31731869,may_treat,MED-RT
C0019112,RO,A31697171,may_treat,MED-RT
C0019112,RO,A31628766,may_treat,MED-RT
C0019112,RO,A16790661,may_treat,MED-RT
C0019112,RO,A31758101,may_treat,MED-RT
C0019112,RO,A31654182,may_treat,MED-RT
C0019112,RO,A31671525,may_treat,MED-RT
C0019112,RO,A31733504,may_treat,MED-RT
C0019112,RO,A31707291,may_treat,MED-RT
C0019112,RO,A31759490,may_treat,MED-RT
C0019114,RO,A31637402,may_treat,MED-RT
C0019114,RO,A31677231,contraindicated_with_disease,MED-RT
C0019114,RO,A10337246,contraindicated_with_disease,MED-RT
C0019114,RO,A24177789,contraindicated_with_disease,MED-RT
C0019114,RO,A20932099,contraindicated_with_disease,MED-RT
C0019114,RO,A26942206,contraindicated_with_disease,MED-RT
C0019114,RO,A31689132,contraindicated_with_disease,MED-RT
C0019114,RO,A10337254,contraindicated_with_disease,MED-RT
C0019114,RO,A10337256,contraindicated_with_disease,MED-RT
C0019114,RO,A31697052,contraindicated_with_disease,MED-RT
C0019114,RO,A31751083,contraindicated_with_disease,MED-RT
C0019114,RO,A16790795,may_treat,MED-RT
C0019114,RO,A31723838,contraindicated_with_disease,MED-RT
C0019114,RO,A21262040,contraindicated_with_disease,MED-RT
C0019114,RO,A31706854,contraindicated_with_disease,MED-RT
C0019114,RO,A31654799,contraindicated_with_disease,MED-RT
C0019114,RO,A31759088,contraindicated_with_disease,MED-RT
C0019114,RO,A31685869,may_treat,MED-RT
C0019134,RO,A31694989,contraindicated_class_of,MED-RT
C0019134,RO,A31740697,contraindicated_class_of,MED-RT
C0019134,RO,A24143041,contraindicated_with_disease,MED-RT
C0019134,RO,A24141673,contraindicated_with_disease,MED-RT
C0019134,RO,A0050422,has_contraindicated_drug,MED-RT
C0019134,RO,A0051521,has_contraindicated_drug,MED-RT
C0019134,RO,A0067245,has_contraindicated_drug,MED-RT
C0019134,RO,A0125740,has_contraindicated_drug,MED-RT
C0019134,RO,A1649275,has_contraindicated_drug,MED-RT
C0019134,RO,A28939649,has_contraindicated_physiologic_effect,MED-RT
C0019134,RO,A30275399,therapeutic_class_of,MED-RT
C0019147,RO,A31762347,contraindicated_with_disease,MED-RT
C0019147,RO,A31738223,contraindicated_with_disease,MED-RT
C0019151,RO,A31642535,may_treat,MED-RT
C0019151,RO,A31712241,may_treat,MED-RT
C0019151,RO,A31660548,may_treat,MED-RT
C0019151,RO,A31764869,may_treat,MED-RT
C0019151,RO,A10337773,may_prevent,MED-RT
C0019151,RO,A31652837,may_treat,MED-RT
C0019151,RO,A31649778,may_treat,MED-RT
C0019156,RO,A21266274,may_treat,MED-RT
C0019156,RO,A31688374,may_treat,MED-RT
C0019156,RO,A26943774,may_treat,MED-RT
C0019156,RO,A26944383,may_treat,MED-RT
C0019158,RO,A31718592,contraindicated_with_disease,MED-RT
C0019158,RO,A16790567,contraindicated_with_disease,MED-RT
C0019158,RO,A31729854,contraindicated_with_disease,MED-RT
C0019158,RO,A31642797,contraindicated_with_disease,MED-RT
C0019158,RO,A31677585,contraindicated_with_disease,MED-RT
C0019158,RO,A31642798,contraindicated_with_disease,MED-RT
C0019158,RO,A31660231,contraindicated_with_disease,MED-RT
C0019158,RO,A31764797,contraindicated_with_disease,MED-RT
C0019158,RO,A10336847,contraindicated_with_disease,MED-RT
C0019158,RO,A10337464,contraindicated_with_disease,MED-RT
C0019158,RO,A10337466,contraindicated_with_disease,MED-RT
C0019158,RO,A10337467,contraindicated_with_disease,MED-RT
C0019158,RO,A10337465,contraindicated_with_disease,MED-RT
C0019158,RO,A31745837,contraindicated_with_disease,MED-RT
C0019158,RO,A23427910,contraindicated_with_disease,MED-RT
C0019158,RO,A31684538,contraindicated_with_disease,MED-RT
C0019158,RO,A31716307,contraindicated_with_disease,MED-RT
C0019158,RO,A31702601,contraindicated_with_disease,MED-RT
C0019158,RO,A10666318,contraindicated_with_disease,MED-RT
C0019158,RO,A31705853,contraindicated_with_disease,MED-RT
C0019158,RO,A31706387,contraindicated_with_disease,MED-RT
C0019158,RO,A16788520,contraindicated_with_disease,MED-RT
C0019158,RO,A10408579,may_treat,MED-RT
C0019158,RO,A31693456,contraindicated_with_disease,MED-RT
C0019158,RO,A31632521,contraindicated_with_disease,MED-RT
C0019158,RO,A31719673,contraindicated_with_disease,MED-RT
C0019158,RO,A31650513,contraindicated_with_disease,MED-RT
C0019158,RO,A31702001,contraindicated_with_disease,MED-RT
C0019158,RO,A21261013,contraindicated_with_disease,MED-RT
C0019158,RO,A31754720,contraindicated_with_disease,MED-RT
C0019158,RO,A24780979,contraindicated_with_disease,MED-RT
C0019158,RO,A31739005,contraindicated_with_disease,MED-RT
C0019158,RO,A32657550,contraindicated_with_disease,MED-RT
C0019158,RO,A29265490,contraindicated_with_disease,MED-RT
C0019158,RO,A30081953,contraindicated_with_disease,MED-RT
C0019159,RO,A31716465,may_prevent,MED-RT
C0019159,RO,A31633535,may_prevent,MED-RT
C0019159,RO,A31643556,may_prevent,MED-RT
C0019159,RO,A31560552,may_prevent,MED-RT
C0019163,RO,A31633229,may_prevent,MED-RT
C0019163,RO,A10351659,may_prevent,MED-RT
C0019163,RO,A10351659,may_treat,MED-RT
C0019163,RO,A16493953,may_prevent,MED-RT
C0019163,RO,A31660905,may_prevent,MED-RT
C0019163,RO,A31642860,may_prevent,MED-RT
C0019163,RO,A31642860,may_treat,MED-RT
C0019163,RO,A31716465,may_prevent,MED-RT
C0019163,RO,A31735843,may_prevent,MED-RT
C0019163,RO,A31735843,may_treat,MED-RT
C0019163,RO,A16794375,may_prevent,MED-RT
C0019163,RO,A16794375,may_treat,MED-RT
C0019163,RO,A10387325,may_prevent,MED-RT
C0019163,RO,A10387325,may_treat,MED-RT
C0019163,RO,A31759725,may_prevent,MED-RT
C0019163,RO,A31759725,may_treat,MED-RT
C0019163,RO,A11563861,may_prevent,MED-RT
C0019163,RO,A11563861,may_treat,MED-RT
C0019163,RO,A27880357,contraindicated_with_disease,MED-RT
C0019163,RO,A28939328,may_prevent,MED-RT
C0019163,RO,A28939328,may_treat,MED-RT
C0019163,RO,A31667985,may_prevent,MED-RT
C0019163,RO,A26446214,may_prevent,MED-RT
C0019163,RO,A26446214,may_treat,MED-RT
C0019163,RO,A32089171,contraindicated_with_disease,MED-RT
C0019163,RO,A32337023,contraindicated_with_disease,MED-RT
C0019163,RO,A32090644,contraindicated_with_disease,MED-RT
C0019163,RO,A32331354,contraindicated_with_disease,MED-RT
C0019163,RO,A33638923,may_prevent,MED-RT
C0019163,RO,A33641801,may_prevent,MED-RT
C0019163,RO,A33641051,may_prevent,MED-RT
C0019163,RO,A36860342,contraindicated_with_disease,MED-RT
C0019169,RO,A0051521,has_contraindicated_drug,MED-RT
C0019169,RO,A30275352,therapeutic_class_of,MED-RT
C0019169,RO,A35259549,contraindicated_with_disease,MED-RT
C0019169,RO,A35259426,contraindicated_with_disease,MED-RT
C0019189,RO,A31759126,may_treat,MED-RT
C0019196,RO,A19988972,may_prevent,MED-RT
C0019196,RO,A19988972,may_treat,MED-RT
C0019196,RO,A19299814,may_prevent,MED-RT
C0019196,RO,A19299814,may_treat,MED-RT
C0019196,RO,A23419743,may_prevent,MED-RT
C0019196,RO,A23419743,may_treat,MED-RT
C0019196,RO,A23408584,may_prevent,MED-RT
C0019196,RO,A23408584,may_treat,MED-RT
C0019196,RO,A28937517,may_prevent,MED-RT
C0019196,RO,A28937517,may_treat,MED-RT
C0019196,RO,A24340927,may_prevent,MED-RT
C0019196,RO,A24340927,may_treat,MED-RT
C0019196,RO,A24149987,may_prevent,MED-RT
C0019196,RO,A24149987,may_treat,MED-RT
C0019196,RO,A24202365,may_prevent,MED-RT
C0019196,RO,A24202365,may_treat,MED-RT
C0019196,RO,A24202590,may_prevent,MED-RT
C0019196,RO,A24202590,may_treat,MED-RT
C0019196,RO,A24201510,may_prevent,MED-RT
C0019196,RO,A24201510,may_treat,MED-RT
C0019196,RO,A28939318,may_prevent,MED-RT
C0019196,RO,A28939318,may_treat,MED-RT
C0019196,RO,A28934475,may_prevent,MED-RT
C0019196,RO,A28934475,may_treat,MED-RT
C0019196,RO,A28939427,may_prevent,MED-RT
C0019196,RO,A28939427,may_treat,MED-RT
C0019196,RO,A27159946,may_prevent,MED-RT
C0019196,RO,A27159946,may_treat,MED-RT
C0019196,RO,A26687067,may_prevent,MED-RT
C0019196,RO,A26687067,may_treat,MED-RT
C0019196,RO,A26687366,may_prevent,MED-RT
C0019196,RO,A26687366,may_treat,MED-RT
C0019196,RO,A28531809,may_prevent,MED-RT
C0019196,RO,A28531809,may_treat,MED-RT
C0019196,RO,A28547678,may_prevent,MED-RT
C0019196,RO,A28547678,may_treat,MED-RT
C0019196,RO,A28552875,may_prevent,MED-RT
C0019196,RO,A28552875,may_treat,MED-RT
C0019202,RO,A31730520,may_treat,MED-RT
C0019202,RO,A31681462,may_treat,MED-RT
C0019202,RO,A31706298,may_treat,MED-RT
C0019202,RO,A34810571,may_treat,MED-RT
C0019243,RO,A19628057,may_treat,MED-RT
C0019243,RO,A20658422,may_treat,MED-RT
C0019243,RO,A17129693,may_treat,MED-RT
C0019243,RO,A24653156,may_treat,MED-RT
C0019243,RO,A29742559,may_prevent,MED-RT
C0019243,RO,A29740333,may_prevent,MED-RT
C0019243,RO,A37558714,may_prevent,MED-RT
C0019243,RO,A37843056,may_prevent,MED-RT
C0019243,RO,A37844180,may_prevent,MED-RT
C0019243,RO,A37666184,may_treat,MED-RT
C0019243,RO,A37559658,may_prevent,MED-RT
C0019270,RO,A10480501,contraindicated_with_disease,MED-RT
C0019270,RO,A16795943,contraindicated_with_disease,MED-RT
C0019337,RO,A31756483,may_treat,MED-RT
C0019337,RO,A31670269,may_treat,MED-RT
C0019342,RO,A31637327,may_treat,MED-RT
C0019342,RO,A31764170,may_treat,MED-RT
C0019342,RO,A31655802,may_treat,MED-RT
C0019342,RO,A16788098,may_treat,MED-RT
C0019342,RO,A10338115,may_prevent,MED-RT
C0019342,RO,A10338115,may_treat,MED-RT
C0019342,RO,A10338324,may_treat,MED-RT
C0019342,RO,A31730805,may_treat,MED-RT
C0019342,RO,A31688833,may_treat,MED-RT
C0019345,RO,A31637327,may_treat,MED-RT
C0019345,RO,A31702734,may_treat,MED-RT
C0019345,RO,A18439823,may_treat,MED-RT
C0019345,RO,A10338054,may_treat,MED-RT
C0019345,RO,A10338115,may_treat,MED-RT
C0019345,RO,A10338324,may_treat,MED-RT
C0019345,RO,A31730805,may_treat,MED-RT
C0019345,RO,A31688833,may_treat,MED-RT
C0019348,RO,A31637327,may_prevent,MED-RT
C0019348,RO,A31637327,may_treat,MED-RT
C0019348,RO,A31702561,may_treat,MED-RT
C0019348,RO,A31660312,may_treat,MED-RT
C0019348,RO,A10338297,contraindicated_with_disease,MED-RT
C0019348,RO,A31734397,may_treat,MED-RT
C0019348,RO,A16794308,contraindicated_with_disease,MED-RT
C0019348,RO,A10337712,contraindicated_with_disease,MED-RT
C0019348,RO,A16793074,contraindicated_with_disease,MED-RT
C0019348,RO,A16791863,contraindicated_with_disease,MED-RT
C0019348,RO,A16790598,contraindicated_with_disease,MED-RT
C0019348,RO,A31763400,contraindicated_with_disease,MED-RT
C0019348,RO,A16791874,contraindicated_with_disease,MED-RT
C0019348,RO,A10337775,contraindicated_with_disease,MED-RT
C0019348,RO,A10338115,may_prevent,MED-RT
C0019348,RO,A10338115,may_treat,MED-RT
C0019348,RO,A10338324,may_prevent,MED-RT
C0019348,RO,A10338324,may_treat,MED-RT
C0019348,RO,A31730805,may_prevent,MED-RT
C0019348,RO,A31730805,may_treat,MED-RT
C0019348,RO,A31716466,contraindicated_with_disease,MED-RT
C0019348,RO,A31738048,contraindicated_with_disease,MED-RT
C0019348,RO,A31688833,may_prevent,MED-RT
C0019348,RO,A31688833,may_treat,MED-RT
C0019348,RO,A31733504,may_treat,MED-RT
C0019348,RO,A16788375,contraindicated_with_disease,MED-RT
C0019348,RO,A30138891,may_treat,MED-RT
C0019348,RO,A28935471,may_prevent,MED-RT
C0019348,RO,A28935471,may_treat,MED-RT
C0019348,RO,A28934553,may_prevent,MED-RT
C0019348,RO,A28934553,may_treat,MED-RT
C0019348,RO,A24117596,may_treat,MED-RT
C0019348,RO,A31205365,may_treat,MED-RT
C0019357,RO,A31744212,contraindicated_with_disease,MED-RT
C0019357,RO,A10338297,contraindicated_with_disease,MED-RT
C0019357,RO,A31664145,may_treat,MED-RT
C0019357,RO,A31734397,may_treat,MED-RT
C0019357,RO,A16793074,contraindicated_with_disease,MED-RT
C0019357,RO,A16791863,contraindicated_with_disease,MED-RT
C0019357,RO,A16790598,contraindicated_with_disease,MED-RT
C0019357,RO,A31763400,contraindicated_with_disease,MED-RT
C0019357,RO,A16791874,contraindicated_with_disease,MED-RT
C0019357,RO,A10337775,contraindicated_with_disease,MED-RT
C0019357,RO,A16788375,contraindicated_with_disease,MED-RT
C0019357,RO,A30138891,may_treat,MED-RT
C0019357,RO,A23828460,contraindicated_with_disease,MED-RT
C0019360,RO,A31637327,may_prevent,MED-RT
C0019360,RO,A31637327,may_treat,MED-RT
C0019360,RO,A31744212,contraindicated_with_disease,MED-RT
C0019360,RO,A31704779,may_treat,MED-RT
C0019360,RO,A31741884,contraindicated_with_disease,MED-RT
C0019360,RO,A31734397,may_treat,MED-RT
C0019360,RO,A31704716,may_prevent,MED-RT
C0019360,RO,A16794308,contraindicated_with_disease,MED-RT
C0019360,RO,A10337712,contraindicated_with_disease,MED-RT
C0019360,RO,A10338115,may_prevent,MED-RT
C0019360,RO,A10338115,may_treat,MED-RT
C0019360,RO,A10338324,may_prevent,MED-RT
C0019360,RO,A10338324,may_treat,MED-RT
C0019360,RO,A31730805,may_prevent,MED-RT
C0019360,RO,A31730805,may_treat,MED-RT
C0019360,RO,A31716466,contraindicated_with_disease,MED-RT
C0019360,RO,A31738048,contraindicated_with_disease,MED-RT
C0019360,RO,A31741133,may_treat,MED-RT
C0019360,RO,A31688833,may_prevent,MED-RT
C0019360,RO,A31688833,may_treat,MED-RT
C0019360,RO,A10408569,may_treat,MED-RT
C0019360,RO,A30138891,may_treat,MED-RT
C0019360,RO,A28937417,may_prevent,MED-RT
C0019360,RO,A28937417,may_treat,MED-RT
C0019360,RO,A31631956,may_prevent,MED-RT
C0019360,RO,A23828460,contraindicated_with_disease,MED-RT
C0019360,RO,A31704715,may_prevent,MED-RT
C0019364,RO,A31637327,may_treat,MED-RT
C0019364,RO,A31730805,may_treat,MED-RT
C0019372,RO,A10338054,may_prevent,MED-RT
C0019372,RO,A10338054,may_treat,MED-RT
C0019372,RO,A28940255,may_prevent,MED-RT
C0019372,RO,A28940255,may_treat,MED-RT
C0019435,RO,A28936620,therapeutic_class_of,MED-RT
C0019435,RO,A0051521,has_contraindicated_drug,MED-RT
C0019453,RO,A28935811,therapeutic_class_of,MED-RT
C0019453,RO,A0032008,has_contraindicated_drug,MED-RT
C0019453,RO,A0051521,has_contraindicated_drug,MED-RT
C0019453,RO,A0091426,has_contraindicated_drug,MED-RT
C0019453,RO,A0091971,has_contraindicated_drug,MED-RT
C0019453,RO,A0104436,has_contraindicated_drug,MED-RT
C0019453,RO,A0125740,has_contraindicated_drug,MED-RT
C0019469,RO,A30275345,therapeutic_class_of,MED-RT
