itemid,label,category,fluid
51574,C1 Inhibitor,Chemistry,Blood
51575,C1q,Chemistry,Blood
51576,C2,Chemistry,Blood
50890,C3,Chemistry,Blood
50891,C4,Chemistry,Blood
51577,C5,Chemistry,Blood
51578,C6,Chemistry,Blood
51579,CA 19-9,Chemistry,Blood
50892,CA-125,Chemistry,Blood
51582,CH50,Chemistry,Blood
50908,CK-MB Index,Chemistry,Blood
53160,CMV CT,Chemistry,Blood
51586,CMV IgG Ab,Chemistry,Blood
51587,CMV IgG Ab Value,Chemistry,Blood
51588,CMV IgM Ab,Chemistry,Blood
51589,CMV IgM Ab Value,Chemistry,Blood
51590,CMV Interpretation,Chemistry,Blood
50893,"Calcium, Total",Chemistry,Blood
51580,Calculated CK-MB,Chemistry,Blood
50894,Calculated Free Testosterone,Chemistry,Blood
50895,Calculated TBG,Chemistry,Blood
50896,Calculated Thyroxine (T4) Index,Chemistry,Blood
50897,Call,Chemistry,Blood
50898,Cancer Antigen 27.29,Chemistry,Blood
50899,Carbamazepine,Chemistry,Blood
50900,Carcinoembyronic Antigen (CEA),Chemistry,Blood
51581,Carotene,Chemistry,Blood
50901,Centromere,Chemistry,Blood
50902,Chloride,Chemistry,Blood
52535,Chloride,Chemistry,Blood
51583,Chol Estr,Chemistry,Blood
50903,Cholesterol Ratio (Total/HDL),Chemistry,Blood
50904,"Cholesterol, HDL",Chemistry,Blood
50905,"Cholesterol, LDL, Calculated",Chemistry,Blood
50906,"Cholesterol, LDL, Measured",Chemistry,Blood
50907,"Cholesterol, Total",Chemistry,Blood
51584,Chylomicrons,Chemistry,Blood
51585,Clostrid,Chemistry,Blood
51591,Confirmation,Chemistry,Blood
51592,Conj Bili,Chemistry,Blood
51593,Copper,Chemistry,Blood
50909,Cortisol,Chemistry,Blood
50910,Creatine Kinase (CK),Chemistry,Blood
51594,"Creatine Kinase, Isoenzyme BB",Chemistry,Blood
51595,"Creatine Kinase, Isoenzyme MB",Chemistry,Blood
51596,"Creatine Kinase, Isoenzyme MM",Chemistry,Blood
50911,"Creatine Kinase, MB Isoenzyme",Chemistry,Blood
52546,Creatinine,Chemistry,Blood
50912,Creatinine,Chemistry,Blood
52548,Cryoglobulin,Chemistry,Blood
50913,Cryoglobulin,Chemistry,Blood
51597,Cvhlc,Chemistry,Blood
50914,Cyclosporin,Chemistry,Blood
51598,Cytomegalovirus Viral Load,Chemistry,Blood
51599,D,Chemistry,Blood
50915,D-Dimer,Chemistry,Blood
52551,D-Dimer,Chemistry,Blood
50916,DHEA-Sulfate,Chemistry,Blood
51603,Delete,Chemistry,Blood
51604,Delete,Chemistry,Blood
51602,Delete,Chemistry,Blood
51601,Delete,Chemistry,Blood
51600,Delete,Chemistry,Blood
51605,Delta/Dlt,Chemistry,Blood
51606,Digitoxin,Chemistry,Blood
50917,Digoxin,Chemistry,Blood
51607,"Dimeric Inhibin A, Maternal Screen",Chemistry,Blood
51608,DirLst,Chemistry,Blood
51609,Disopyramide,Chemistry,Blood
51610,Dlta Bili,Chemistry,Blood
50918,Double Stranded DNA,Chemistry,Blood
51611,Down Syndrome Risk,Chemistry,Blood
51612,Dr. X,Chemistry,Blood
50919,EDTA Hold,Chemistry,Blood
51762,EE1,Chemistry,Blood
51763,EE2,Chemistry,Blood
51765,EE3,Chemistry,Blood
51767,EE5,Chemistry,Blood
51768,EE6,Chemistry,Blood
51764,EE7,Chemistry,Blood
51614,Epstein-Barr Virus  EBNA IgG Ab,Chemistry,Blood
51615,Epstein-Barr Virus EBNA IgG Ab,Chemistry,Blood
51616,Epstein-Barr Virus IgG Ab Value,Chemistry,Blood
51617,Epstein-Barr Virus IgM Ab Value,Chemistry,Blood
51618,Epstein-Barr Virus Interpretation,Chemistry,Blood
51619,Epstein-Barr Virus VCA IgG Ab,Chemistry,Blood
51620,Epstein-Barr Virus VCA IgM Ab,Chemistry,Blood
53161,Estimated GFR (CKD- EPI Refit),Chemistry,Blood
