itemid,label,category,fluid
52117,"Fibrinogen, Immunologic",Hematology,Blood
52119,Fitzgerld,Hematology,Blood
52120,Fitzgerld,Hematology,Blood
52121,Fletcher,Hematology,Blood
52199,FragFlg,Hematology,Blood
51216,Fragmented Cells,Hematology,Blood
52122,Fsp,Hematology,Blood
52123,"G6PD, Qualitative",Hematology,Blood
52124,G6pd Spec,Hematology,Blood
52125,Glutathione,Hematology,Blood
51217,Glyco A,Hematology,Blood
51218,Granulocyte Count,Hematology,Blood
51219,H/O Smear,Hematology,Blood
52131,HIT-Ab Interpreted Result,Hematology,Blood
52132,HIT-Ab Numerical Result,Hematology,Blood
51230,HLA-DR,Hematology,Blood
52126,Heinz Aph,Hematology,Blood
51220,Heinz Body Prep,Hematology,Blood
52127,Helmet Cells,Hematology,Blood
51221,Hematocrit,Hematology,Blood
51222,Hemoglobin,Hematology,Blood
51223,Hemoglobin A2,Hematology,Blood
51224,Hemoglobin C,Hematology,Blood
51225,Hemoglobin F,Hematology,Blood
52128,Hemoglobin H Inclusion,Hematology,Blood
52129,Hemoglobin Other,Hematology,Blood
51226,Hemogloblin A,Hematology,Blood
51227,Hemogloblin S,Hematology,Blood
51228,Heparin,Hematology,Blood
51229,"Heparin, LMW",Hematology,Blood
52130,Histiocytes,Hematology,Blood
52133,Hmwk,Hematology,Blood
51231,Howell-Jolly Bodies,Hematology,Blood
51232,Hypersegmented Neutrophils,Hematology,Blood
51233,Hypochromia,Hematology,Blood
52134,IG,Hematology,Blood
52218,IG Flg,Hematology,Blood
51237,INR(PT),Hematology,Blood
52135,Immature Granulocytes,Hematology,Blood
51234,Immunophenotyping,Hematology,Blood
52137,Inh Scr,Hematology,Blood
52136,Inhibitor,Hematology,Blood
51235,Inhibitor Screen,Hematology,Blood
51236,Inpatient Hematology/Oncology Smear,Hematology,Blood
51238,Kappa,Hematology,Blood
52138,Kct,Hematology,Blood
52139,LE Prep,Hematology,Blood
52140,LS,Hematology,Blood
51242,LUC,Hematology,Blood
51239,Lambda,Hematology,Blood
51240,Large Platelets,Hematology,Blood
52210,LeftShf,Hematology,Blood
51241,Leukocyte Alkaline Phosphatase,Hematology,Blood
52889,Lupus Anticoagulant,Hematology,Blood
51243,Lupus Anticoagulant,Hematology,Blood
52211,LymFlg,Hematology,Blood
51244,Lymphocytes,Hematology,Blood
51245,"Lymphocytes, Percent",Hematology,Blood
51248,MCH,Hematology,Blood
51249,MCHC,Hematology,Blood
51250,MCV,Hematology,Blood
51247,MacroOvalocytes,Hematology,Blood
51246,Macrocytes,Hematology,Blood
52141,Malaria Smear,Hematology,Blood
52142,Mean Platelet Volume,Hematology,Blood
51251,Metamyelocytes,Hematology,Blood
52143,Methemalb,Hematology,Blood
52144,Methemoglobin,Hematology,Blood
51252,Microcytes,Hematology,Blood
52145,Mono Spot Test,Hematology,Blood
52212,MonoFlg,Hematology,Blood
51253,Monocyte Count,Hematology,Blood
51254,Monocytes,Hematology,Blood
51255,Myelocytes,Hematology,Blood
52147,NEUTX,Hematology,Blood
52148,NEUTY,Hematology,Blood
52149,NFletcher,Hematology,Blood
52151,NRBC,Hematology,Blood
52213,NRBCFlg,Hematology,Blood
52146,Naphtol Acetate Stain,Hematology,Blood
51256,Neutrophils,Hematology,Blood
52150,Non-Specific Esterase,Hematology,Blood
51257,Nucleated Red Cells,Hematology,Blood
51258,Osmotic Fragility,Hematology,Blood
52152,"Osmotic Fragility, Incubated",Hematology,Blood
51259,Other Cells,Hematology,Blood
52153,Other Inhibitor,Hematology,Blood
51260,Ovalocytes,Hematology,Blood
52154,P2Y12 Reaction Units,Hematology,Blood
52921,PT,Hematology,Blood
51274,PT,Hematology,Blood
52163,PT Control,Hematology,Blood
52164,PT Mean,Hematology,Blood
52923,PTT,Hematology,Blood
51275,PTT,Hematology,Blood
52165,PTT Control,Hematology,Blood
52167,PTT mea,Hematology,Blood
52166,PTT-LA,Hematology,Blood
51261,Pappenheimer Bodies,Hematology,Blood
51262,Pencil Cells,Hematology,Blood
52155,Periodic Acid Schiff Stain,Hematology,Blood
52156,Peroxidase Staining,Hematology,Blood
51263,Plasma Cells,Hematology,Blood
52157,Plasma Hemoglobin,Hematology,Blood
52158,Plasminogen,Hematology,Blood
52159,Platelet Aggregation,Hematology,Blood
51264,Platelet Clumps,Hematology,Blood
51265,Platelet Count,Hematology,Blood
51266,Platelet Smear,Hematology,Blood
52202,PltClmp,Hematology,Blood
52200,PltDist,Hematology,Blood
52201,PltScat,Hematology,Blood
51267,Poikilocytosis,Hematology,Blood
51268,Polychromasia,Hematology,Blood
52160,Prekallekrein,Hematology,Blood
52161,Problem Specimen,Hematology,Blood
51269,Promyelocytes,Hematology,Blood
51270,"Protein C, Antigen",Hematology,Blood
51271,"Protein C, Functional",Hematology,Blood
52162,Protein S,Hematology,Blood
51272,"Protein S, Antigen",Hematology,Blood
51273,"Protein S, Functional",Hematology,Blood
52168,Pyruvate Kinase,Hematology,Blood
52169,QFib,Hematology,Blood
51276,Quantitative G6PD,Hematology,Blood
52171,RBC Morphology,Hematology,Blood
52203,RBCAgg,Hematology,Blood
52204,RBCDist,Hematology,Blood
51277,RDW,Hematology,Blood
52172,RDW-SD,Hematology,Blood
52173,Red Blood Cell Enzyme,Hematology,Blood
51278,Red Blood Cell Fragments,Hematology,Blood
51279,Red Blood Cells,Hematology,Blood
52929,Reptilase Time,Hematology,Blood
51280,Reptilase Time,Hematology,Blood
51281,Reptilase Time Control,Hematology,Blood
52174,"Reptilase Time, Control",Hematology,Blood
52206,RetFlg,Hematology,Blood
52205,RetScat,Hematology,Blood
51282,"Reticulocyte Count, Absolute",Hematology,Blood
51283,"Reticulocyte Count, Automated",Hematology,Blood
52934,"Reticulocyte Count, Manual",Hematology,Blood
51284,"Reticulocyte Count, Manual",Hematology,Blood
51285,"Reticulocyte, Cellular Hemoglobin",Hematology,Blood
51286,Ristocetin,Hematology,Blood
52175,Ristocetin Response,Hematology,Blood
52176,Rouleaux,Hematology,Blood
52177,SCT - Confirmation,Hematology,Blood
52178,SCT - Normalized Ratio,Hematology,Blood
52179,SCT - Screen,Hematology,Blood
52180,STA-CLOT,Hematology,Blood
51287,Schistocytes,Hematology,Blood
51288,Sedimentation Rate,Hematology,Blood
51289,Serum Viscosity,Hematology,Blood
51290,Sickle Cell Preparation,Hematology,Blood
51291,Sickle Cells,Hematology,Blood
51292,Spherocytes,Hematology,Blood
52181,Stomatocyte,Hematology,Blood
52182,Sudan Black Staining,Hematology,Blood
51293,Sugar Water Test,Hematology,Blood
52183,Sulf Hgb,Hematology,Blood
52184,TCR Alpha-Beta,Hematology,Blood
52185,TCR Gamma-Delta,Hematology,Blood
51294,Target Cells,Hematology,Blood
51295,TdT,Hematology,Blood
51296,Teardrop Cells,Hematology,Blood
52186,Test,Hematology,Blood
52948,Thrombin,Hematology,Blood
51297,Thrombin,Hematology,Blood
52187,Thrombin Time,Hematology,Blood
52189,Thrombin Time Control,Hematology,Blood
52188,Thrombin Time Control,Hematology,Blood
52190,Tissue Thromboplastin Inhibitor,Hematology,Blood
52191,Tr- Acid,Hematology,Blood
52192,Trap Stain,Hematology,Blood
52207,TurbHbI,Hematology,Blood
52194,VIII-CIE,Hematology,Blood
52193,Viii Ag,Hematology,Blood
52195,Voided Specimen,Hematology,Blood
51298,Von Willebrand Factor Activity,Hematology,Blood
51299,Von Willebrand Factor Antigen,Hematology,Blood
52197,WAM MANUAL DIFF 2,Hematology,Blood
52196,WAM Manual Diff,Hematology,Blood
51300,WBC Count,Hematology,Blood
52219,WBCScat,Hematology,Blood
51301,White Blood Cells,Hematology,Blood
51302,Young Cells,Hematology,Blood
52107,dRVVT - Confirmation,Hematology,Blood
52108,dRVVT - Normalized Ratio,Hematology,Blood
52109,dRVVT - Screen,Hematology,Blood
52220,wbcp,Hematology,Blood
