rela,sab,count
classifies,MDRSPA,90471
classifies,MDRHUN,90471
classifies,MDRDUT,90471
classifies,MDRGER,90471
classifies,MDRITA,90471
classifies,MDRFRE,90471
classifies,MDRCZE,90471
classifies,MDRPOR,90471
classified_as,MDRGER,90471
classifies,MDRRUS,90471
classifies,MDRKOR,90471
classified_as,MDRRUS,90471
classified_as,MDRKOR,90471
classified_as,MDRBPO,90471
classifies,MDRBPO,90471
classifies,MDRSWE,90471
classified_as,MDRSWE,90471
classifies,MDRLAV,90471
classified_as,MDRLAV,90471
classified_as,MDRGRE,90471
classifies,MDRGRE,90471
classifies,MDRPOL,90471
classified_as,MDRPOL,90471
classifies,MDRARA,90471
classified_as,MDRARA,90471
classifies,MDREST,90471
classified_as,MDREST,90471
classifies,MDRFIN,90471
classified_as,MDRFIN,90471
classified_as,MDRLIT,90471
classifies,MDRHRV,90471
classifies,MDRLIT,90471
classified_as,MDRHRV,90471
classified_as,MDRISL,90471
classifies,MDRISL,90471
classifies,MDRNOR,90471
classified_as,MDRSLK,90471
classifies,MDRSLK,90471
classified_as,MDRNOR,90471
classified_as,MDRSLV,90471
classifies,MDRSLV,90471
classified_as,MDRPOR,90471
classified_as,MDRSPA,90471
classified_as,MDRDUT,90471
classified_as,MDRFRE,90471
has_member,MDRJPN,89584
member_of,MDRJPN,89584
classifies,CCSR_ICD10CM,86910
classified_as,CCSR_ICD10CM,86910
analyzes,LNC,86907
analyzed_by,LNC,86907
has_method,LNC,83127
method_of,LNC,83127
associated_with,SNMI,82408
classified_as,CCSR_ICD10PCS,79115
classifies,CCSR_ICD10PCS,79115
translation_of,ICPC2ICD10ENG,76604
has_translation,ICPC2ICD10ENG,76604
default_inpatient_classification_of,CCSR_ICD10CM,75115
default_outpatient_classification_of,CCSR_ICD10CM,75115
has_default_inpatient_classification,CCSR_ICD10CM,75115
has_default_outpatient_classification,CCSR_ICD10CM,75115
inverse_isa,GO,72801
isa,GO,72801
is_abnormal_cell_of_disease,NCI,68306
disease_has_abnormal_cell,NCI,68306
has_ingredient,VANDF,67567
ingredient_of,VANDF,67567
has_active_ingredient,SNOMEDCT_US,67315
active_ingredient_of,SNOMEDCT_US,67315
active_ingredient_of,SCTSPA,67245
has_active_ingredient,SCTSPA,67245
pathological_process_of,SNOMEDCT_US,66717
has_pathological_process,SNOMEDCT_US,66717
pathological_process_of,SCTSPA,65732
has_pathological_process,SCTSPA,65732
disease_has_associated_anatomic_site,NCI,61430
is_associated_anatomic_site_of,NCI,61430
is_finding_of_disease,NCI,59461
disease_has_finding,NCI,59461
has_member,LNC,55326
member_of,LNC,55326
has_occurrence,SNOMEDCT_US,53961
occurs_in,SNOMEDCT_US,53961
has_part,SNOMEDCT_US,53710
part_of,SNOMEDCT_US,53710
has_part,SCTSPA,53671
part_of,SCTSPA,53671
gene_plays_role_in_process,NCI,53034
process_involves_gene,NCI,53034
has_occurrence,SCTSPA,53013
occurs_in,SCTSPA,53013
disease_has_primary_anatomic_site,NCI,49217
is_primary_anatomic_site_of_disease,NCI,49217
associated_with,MEDCIN,48936
isa,SNOMEDCT_VET,47719
inverse_isa,SNOMEDCT_VET,47719
has_associated_morphology,MEDCIN,44988
associated_morphology_of,MEDCIN,44988
has_alias,HGNC,44390
alias_of,HGNC,44390
do_not_code_with,CPT,44300
