CUI1,CUI2,RELA,SAB
C0002598,C0036980,contraindicated_with_disease,MED-RT
C0002598,C0039240,may_treat,MED-RT
C0002598,C0042510,may_treat,MED-RT
C0002615,C0025517,may_treat,MED-RT
C0002615,C0085605,contraindicated_with_disease,MED-RT
C0002640,C0003469,may_treat,MED-RT
C0002640,C0013404,contraindicated_with_disease,MED-RT
C0002640,C0023895,contraindicated_with_disease,MED-RT
C0002640,C0085605,contraindicated_with_disease,MED-RT
C0002645,C0001261,may_treat,MED-RT
C0002645,C0004623,may_prevent,MED-RT
C0002645,C0004623,may_treat,MED-RT
C0002645,C0023860,may_treat,MED-RT
C0002645,C0024198,may_treat,MED-RT
C0002645,C0029882,may_treat,MED-RT
C0002645,C0042029,may_treat,MED-RT
C0002658,C0017601,contraindicated_with_disease,MED-RT
C0002658,C0027404,may_treat,MED-RT
C0002658,C1263846,may_treat,MED-RT
C0002679,C0004030,may_treat,MED-RT
C0002679,C0005716,may_treat,MED-RT
C0002679,C0009186,may_treat,MED-RT
C0002679,C0010692,may_treat,MED-RT
C0002679,C0019655,may_treat,MED-RT
C0002679,C0026946,may_prevent,MED-RT
C0002679,C0026946,may_treat,MED-RT
C0002679,C0027947,may_treat,MED-RT
C0002679,C0030409,may_treat,MED-RT
C0002679,C0031154,may_treat,MED-RT
C0002679,C0038034,may_treat,MED-RT
C0002679,C0042029,may_treat,MED-RT
C0002679,C0043541,may_treat,MED-RT
C0002679,C0085082,may_treat,MED-RT
C0002680,C0001261,may_treat,MED-RT
C0002680,C0004623,may_prevent,MED-RT
C0002680,C0004623,may_treat,MED-RT
C0002680,C0014836,may_treat,MED-RT
C0002680,C0018081,may_treat,MED-RT
C0002680,C0023860,may_treat,MED-RT
C0002680,C0025303,may_treat,MED-RT
C0002680,C0036117,may_treat,MED-RT
C0002680,C0042029,may_treat,MED-RT
C0002680,C1527298,may_treat,MED-RT
C0002697,C0007193,may_treat,MED-RT
C0002697,C0018801,may_treat,MED-RT
C0002697,C0036980,may_treat,MED-RT
C0002711,C0002962,may_treat,MED-RT
C0003009,C0020649,may_treat,MED-RT
C0003143,C0033774,may_treat,MED-RT
C0003143,C0035204,may_treat,MED-RT
C0003144,C0033774,may_treat,MED-RT
C0003144,C0035204,may_treat,MED-RT
C0003166,C0033860,may_treat,MED-RT
C0003420,C0029882,may_treat,MED-RT
C0003765,C0001122,may_treat,MED-RT
C0003830,C0021843,contraindicated_with_disease,MED-RT
C0003830,C0026896,contraindicated_with_disease,MED-RT
C0003830,C0030920,contraindicated_with_disease,MED-RT
C0003968,C0025637,may_treat,MED-RT
C0003968,C0036474,may_treat,MED-RT
C0003993,C0008350,may_treat,MED-RT
C0003993,C0030305,contraindicated_with_disease,MED-RT
C0004011,C0019158,contraindicated_with_disease,MED-RT
C0004011,C0024473,may_prevent,MED-RT
C0004011,C0024473,may_treat,MED-RT
C0004037,C0011849,contraindicated_with_disease,MED-RT
C0004037,C0019087,contraindicated_with_disease,MED-RT
C0004057,C0003873,may_treat,MED-RT
C0004057,C0005779,contraindicated_with_disease,MED-RT
C0004057,C0008049,contraindicated_with_disease,MED-RT
C0004057,C0018099,may_treat,MED-RT
C0004057,C0018926,contraindicated_with_disease,MED-RT
C0004057,C0019087,contraindicated_with_disease,MED-RT
C0004057,C0025222,contraindicated_with_disease,MED-RT
C0004057,C0027430,contraindicated_with_disease,MED-RT
C0004057,C0029408,may_treat,MED-RT
C0004057,C0032914,may_prevent,MED-RT
C0004057,C0035436,may_treat,MED-RT
C0004147,C0002962,may_treat,MED-RT
C0004147,C0018801,contraindicated_with_disease,MED-RT
C0004147,C0018801,may_treat,MED-RT
C0004147,C0020649,contraindicated_with_disease,MED-RT
C0004147,C0034063,contraindicated_with_disease,MED-RT
C0004147,C0036980,contraindicated_with_disease,MED-RT
C0004147,C0039240,may_treat,MED-RT
C0004147,C0042510,may_treat,MED-RT
C0004147,C0042514,may_treat,MED-RT
C0004259,C0009324,contraindicated_with_disease,MED-RT
C0004259,C0018790,may_treat,MED-RT
C0004259,C0021843,contraindicated_with_disease,MED-RT
C0004259,C0023308,contraindicated_with_disease,MED-RT
C0004259,C0023895,contraindicated_with_disease,MED-RT
C0004259,C0025162,contraindicated_with_disease,MED-RT
C0004259,C0026896,contraindicated_with_disease,MED-RT
C0004259,C0040156,contraindicated_with_disease,MED-RT
C0004259,C0042164,may_treat,MED-RT
C0004261,C0009324,contraindicated_with_disease,MED-RT
C0004261,C0017601,contraindicated_with_disease,MED-RT
C0004261,C0021843,contraindicated_with_disease,MED-RT
C0004261,C0022104,may_treat,MED-RT
C0004261,C0025162,contraindicated_with_disease,MED-RT
C0004261,C0026896,contraindicated_with_disease,MED-RT
C0004261,C0030920,may_treat,MED-RT
C0004261,C0037763,may_treat,MED-RT
C0004261,C0040822,may_treat,MED-RT
C0004261,C0151744,contraindicated_with_disease,MED-RT
C0004320,C0003872,may_treat,MED-RT
C0004320,C0003873,may_treat,MED-RT
C0004320,C0011606,contraindicated_with_disease,MED-RT
C0004320,C0018801,contraindicated_with_disease,MED-RT
C0004320,C0024141,contraindicated_with_disease,MED-RT
C0004320,C0030807,may_treat,MED-RT
C0004320,C0520459,contraindicated_with_disease,MED-RT
C0004475,C0345904,contraindicated_with_disease,MED-RT
C0004482,C0003873,may_treat,MED-RT
C0004482,C0009324,may_treat,MED-RT
C0004482,C0010346,may_treat,MED-RT
C0004482,C0018133,may_prevent,MED-RT
C0004482,C0024141,may_treat,MED-RT
C0004482,C0026769,may_treat,MED-RT
C0004482,C0032984,contraindicated_with_disease,MED-RT
C0004499,C0004623,may_prevent,MED-RT
C0004499,C0004623,may_treat,MED-RT
C0004499,C0014836,may_treat,MED-RT
C0004521,C0004623,may_prevent,MED-RT
C0004521,C0004623,may_treat,MED-RT
C0004521,C0007642,may_treat,MED-RT
C0004521,C0042029,may_treat,MED-RT
C0004609,C0007789,may_treat,MED-RT
C0004609,C0019521,may_treat,MED-RT
C0004609,C0026769,may_treat,MED-RT
C0004609,C0038018,may_treat,MED-RT
C0004754,C0021843,contraindicated_with_disease,MED-RT
C0004905,C0027430,may_prevent,MED-RT
C0004906,C0027430,may_prevent,MED-RT
C0004954,C0001973,contraindicated_with_disease,MED-RT
C0004954,C0017601,contraindicated_with_disease,MED-RT
C0004954,C0018681,may_treat,MED-RT
C0004954,C0023895,contraindicated_with_disease,MED-RT
C0004954,C0037763,may_treat,MED-RT
C0004963,C0003469,may_treat,MED-RT
C0004963,C0037383,may_treat,MED-RT
