CUI1,CUI2,RELA,SAB
C0107497,C0040259,may_treat,MED-RT
C0107497,C0040262,may_treat,MED-RT
C0107509,C0026946,may_prevent,MED-RT
C0107509,C0026946,may_treat,MED-RT
C0107509,C0700345,may_treat,MED-RT
C0107994,C0020514,may_treat,MED-RT
C0108101,C0020598,may_treat,MED-RT
C0108111,C0017168,may_treat,MED-RT
C0108111,C0018790,may_treat,MED-RT
C0108111,C0018834,may_treat,MED-RT
C0108121,C0020598,may_treat,MED-RT
C0108124,C0020598,may_treat,MED-RT
C0108342,C0079153,may_treat,MED-RT
C0108938,C0004623,may_prevent,MED-RT
C0108938,C0010692,may_treat,MED-RT
C0108938,C0014836,may_treat,MED-RT
C0108938,C0018081,may_treat,MED-RT
C0108938,C0024959,may_treat,MED-RT
C0108938,C0029882,may_treat,MED-RT
C0108938,C0042029,may_treat,MED-RT
C0108950,C0004623,may_prevent,MED-RT
C0108950,C0004623,may_treat,MED-RT
C0109002,C0014544,may_treat,MED-RT
C0109040,C0042963,may_prevent,MED-RT
C0109040,C0042963,may_treat,MED-RT
C0109354,C0004623,may_prevent,MED-RT
C0109354,C0004623,may_treat,MED-RT
C0109354,C0025294,may_treat,MED-RT
C0109354,C0029878,may_treat,MED-RT
C0109354,C0035585,may_treat,MED-RT
C0109354,C0036117,may_treat,MED-RT
C0110038,C0023895,contraindicated_with_disease,MED-RT
C0110038,C0029882,may_treat,MED-RT
C0110059,C0017601,contraindicated_with_disease,MED-RT
C0110059,C0030920,may_treat,MED-RT
C0110462,C0004623,may_prevent,MED-RT
C0110462,C0004623,may_treat,MED-RT
C0110462,C0014836,may_treat,MED-RT
C0110462,C0042029,may_treat,MED-RT
C0113286,C0009324,may_treat,MED-RT
C0113286,C0022568,may_treat,MED-RT
C0113286,C0023418,may_treat,MED-RT
C0113286,C0024141,may_treat,MED-RT
C0113286,C0026948,may_treat,MED-RT
C0113286,C0027430,may_prevent,MED-RT
C0113286,C0030807,may_treat,MED-RT
C0113286,C0035435,may_treat,MED-RT
C0113286,C0036202,may_treat,MED-RT
C0113286,C0038013,may_treat,MED-RT
C0113286,C0040147,may_treat,MED-RT
C0113286,C0041322,contraindicated_with_disease,MED-RT
C0113286,C0041327,may_treat,MED-RT
C0113286,C0042963,may_prevent,MED-RT
C0113286,C0042963,may_treat,MED-RT
C0113291,C0042109,may_treat,MED-RT
C0114771,C0003811,may_prevent,MED-RT
C0114771,C0003811,may_treat,MED-RT
C0114771,C0020621,contraindicated_with_disease,MED-RT
C0114771,C0023976,contraindicated_with_disease,MED-RT
C0114771,C0024473,contraindicated_with_disease,MED-RT
C0114873,C0020649,contraindicated_with_disease,MED-RT
C0114873,C0080274,may_treat,MED-RT
C0116569,C0002962,may_treat,MED-RT
C0116569,C0018801,contraindicated_with_disease,MED-RT
C0116569,C0018801,may_treat,MED-RT
C0116569,C0020649,contraindicated_with_disease,MED-RT
C0116569,C0034063,contraindicated_with_disease,MED-RT
C0116569,C0036980,contraindicated_with_disease,MED-RT
C0116569,C0039240,may_treat,MED-RT
C0116569,C0042510,may_treat,MED-RT
C0116569,C0042514,may_treat,MED-RT
C0116569,C0085605,contraindicated_with_disease,MED-RT
C0117339,C0020621,contraindicated_with_disease,MED-RT
C0117339,C0023976,contraindicated_with_disease,MED-RT
C0117996,C0027430,may_prevent,MED-RT
C0118168,C0018801,may_treat,MED-RT
C0118168,C0020428,contraindicated_with_disease,MED-RT
C0118168,C0020649,contraindicated_with_disease,MED-RT
C0120107,C0376358,may_treat,MED-RT
C0120726,C0024530,may_prevent,MED-RT
C0120726,C0024530,may_treat,MED-RT
C0120726,C0024535,may_treat,MED-RT
C0120726,C0042510,contraindicated_with_disease,MED-RT
C0123053,C0003811,may_prevent,MED-RT
C0123053,C0003811,may_treat,MED-RT
C0123091,C0005586,may_treat,MED-RT
C0123091,C0005779,contraindicated_with_disease,MED-RT
C0123091,C0009421,contraindicated_with_disease,MED-RT
C0123091,C0023895,contraindicated_with_disease,MED-RT
C0123091,C0036341,may_treat,MED-RT
C0123091,C1269683,may_treat,MED-RT
C0123677,C0020456,may_treat,MED-RT
C0123677,C0020615,contraindicated_with_disease,MED-RT
C0123931,C0023418,may_treat,MED-RT
C0125903,C0020473,may_treat,MED-RT
C0125903,C1527336,may_treat,MED-RT
C0125988,C0003811,contraindicated_with_disease,MED-RT
C0125988,C0018801,contraindicated_with_disease,MED-RT
C0125988,C0027121,may_treat,MED-RT
C0125988,C0037763,may_treat,MED-RT
C0125997,C0005586,may_treat,MED-RT
C0125997,C0011175,contraindicated_with_disease,MED-RT
C0125997,C0038436,may_treat,MED-RT
C0125997,C0149654,may_treat,MED-RT
C0126120,C0022573,may_treat,MED-RT
C0126169,C0040259,may_treat,MED-RT
C0126169,C0040262,may_treat,MED-RT
C0126174,C0018801,may_treat,MED-RT
C0126174,C0020428,contraindicated_with_disease,MED-RT
C0126174,C0020649,contraindicated_with_disease,MED-RT
C0126177,C0009768,may_treat,MED-RT
C0126177,C0009774,may_treat,MED-RT
C0126177,C0022568,may_treat,MED-RT
C0126177,C0035854,may_treat,MED-RT
C0126774,C0000737,contraindicated_with_disease,MED-RT
C0126774,C0003615,contraindicated_with_disease,MED-RT
C0126774,C0009324,contraindicated_with_disease,MED-RT
C0126774,C0009806,may_treat,MED-RT
C0126774,C0011849,contraindicated_with_disease,MED-RT
C0126774,C0015734,contraindicated_with_disease,MED-RT
C0126774,C0019158,contraindicated_with_disease,MED-RT
C0126774,C0024473,may_prevent,MED-RT
C0126774,C0024473,may_treat,MED-RT
C0126777,C0019158,contraindicated_with_disease,MED-RT
C0126777,C0024473,may_prevent,MED-RT
C0126777,C0024473,may_treat,MED-RT
C0126784,C0019158,contraindicated_with_disease,MED-RT
C0126784,C0024473,may_prevent,MED-RT
C0126784,C0024473,may_treat,MED-RT
C0126791,C0019158,contraindicated_with_disease,MED-RT
C0126791,C0024473,may_prevent,MED-RT
C0126791,C0024473,may_treat,MED-RT
C0127514,C0019087,contraindicated_with_disease,MED-RT
C0127550,C0030920,may_treat,MED-RT
C0127615,C0009324,may_treat,MED-RT
C0128513,C0018801,may_treat,MED-RT
C0132182,C0026896,contraindicated_with_disease,MED-RT
C0132326,C0019693,may_prevent,MED-RT
C0132326,C0019693,may_treat,MED-RT
C0132326,C0023895,contraindicated_with_disease,MED-RT
C0132512,C0002962,may_treat,MED-RT
C0134394,C0009324,contraindicated_with_disease,MED-RT
C0134394,C0013428,may_treat,MED-RT
C0134394,C0017601,contraindicated_with_disease,MED-RT
C0134394,C0021843,contraindicated_with_disease,MED-RT
C0134394,C0025162,contraindicated_with_disease,MED-RT
C0134394,C0026896,contraindicated_with_disease,MED-RT
C0134394,C0042024,may_treat,MED-RT
C0134394,C0080274,contraindicated_with_disease,MED-RT
C0134394,C0152020,contraindicated_with_disease,MED-RT
C0136123,C0018801,may_treat,MED-RT
C0136123,C0020428,contraindicated_with_disease,MED-RT
C0136123,C0020649,contraindicated_with_disease,MED-RT
C0137095,C0003950,may_treat,MED-RT
C0137095,C0027583,may_treat,MED-RT
C0137095,C0086227,may_treat,MED-RT
C0137440,C0035460,may_treat,MED-RT
C0137984,C0011175,contraindicated_with_disease,MED-RT
C0137984,C0020621,may_prevent,MED-RT
C0137984,C0020621,may_treat,MED-RT
C0137984,C0021843,contraindicated_with_disease,MED-RT
C0137996,C0011175,contraindicated_with_disease,MED-RT
C0137996,C0020621,may_prevent,MED-RT
C0137996,C0020621,may_treat,MED-RT
C0137996,C0021843,contraindicated_with_disease,MED-RT
C0137996,C0030920,contraindicated_with_disease,MED-RT
C0137996,C0042029,contraindicated_with_disease,MED-RT
C0137997,C0023895,contraindicated_with_disease,MED-RT
C0137997,C0029882,may_treat,MED-RT
C0138037,C0020621,may_prevent,MED-RT
C0138037,C0020621,may_treat,MED-RT
C0138038,C0020621,may_prevent,MED-RT
C0138038,C0020621,may_treat,MED-RT
C0138273,C0002878,may_treat,MED-RT
C0138273,C0003873,may_prevent,MED-RT
C0138273,C0005138,may_treat,MED-RT
C0138273,C0008049,contraindicated_with_disease,MED-RT
C0138273,C0009324,may_treat,MED-RT
C0138273,C0009763,may_treat,MED-RT
C0138273,C0011615,may_treat,MED-RT
C0138273,C0014742,may_treat,MED-RT
C0138273,C0019348,contraindicated_with_disease,MED-RT
C0138273,C0022568,contraindicated_with_disease,MED-RT
C0138273,C0023418,may_treat,MED-RT
C0138273,C0024141,may_treat,MED-RT
C0138273,C0026769,may_treat,MED-RT
C0138273,C0026946,contraindicated_with_disease,MED-RT
C0138273,C0026948,may_treat,MED-RT
C0138273,C0030807,may_treat,MED-RT
C0138273,C0035435,may_treat,MED-RT
C0138273,C0036202,may_treat,MED-RT
C0138273,C0038013,may_treat,MED-RT
C0138273,C0040034,may_treat,MED-RT
C0138273,C0040147,may_treat,MED-RT
C0138273,C0041327,may_treat,MED-RT
C0138273,C0042164,may_treat,MED-RT
C0138274,C0002878,may_treat,MED-RT
C0138274,C0003873,may_prevent,MED-RT
C0138274,C0005138,may_treat,MED-RT
C0138274,C0008049,contraindicated_with_disease,MED-RT
C0138274,C0009324,may_treat,MED-RT
C0138274,C0009763,may_treat,MED-RT
C0138274,C0011615,may_treat,MED-RT
C0138274,C0014742,may_treat,MED-RT
C0138274,C0019348,contraindicated_with_disease,MED-RT
C0138274,C0022568,contraindicated_with_disease,MED-RT
C0138274,C0023418,may_treat,MED-RT
C0138274,C0024141,may_treat,MED-RT
C0138274,C0026769,may_treat,MED-RT
C0138274,C0026946,contraindicated_with_disease,MED-RT
C0138274,C0026948,may_treat,MED-RT
C0138274,C0030807,may_treat,MED-RT
C0138274,C0035435,may_treat,MED-RT
C0138274,C0036202,may_treat,MED-RT
C0138274,C0038013,may_treat,MED-RT
C0138274,C0040034,may_treat,MED-RT
C0138274,C0040147,may_treat,MED-RT
C0138274,C0041327,may_treat,MED-RT
C0138274,C0042164,may_treat,MED-RT
C0139697,C0024535,may_prevent,MED-RT
C0139697,C0026896,contraindicated_with_disease,MED-RT
C0139697,C0039240,may_prevent,MED-RT
C0139697,C0042514,may_prevent,MED-RT
C0139919,C0017168,may_treat,MED-RT
C0140575,C0040034,contraindicated_with_disease,MED-RT
C0140575,C0041327,may_prevent,MED-RT
C0140575,C0041327,may_treat,MED-RT
C0140594,C0019348,contraindicated_with_disease,MED-RT
C0141756,C0009324,contraindicated_with_disease,MED-RT
C0141756,C0017601,contraindicated_with_disease,MED-RT
C0141756,C0021843,contraindicated_with_disease,MED-RT
C0141756,C0026896,contraindicated_with_disease,MED-RT
C0141756,C0030920,may_treat,MED-RT
C0142160,C0040259,may_treat,MED-RT
C0142160,C0040262,may_treat,MED-RT
C0142278,C0003125,contraindicated_with_disease,MED-RT
C0142278,C0003811,contraindicated_with_disease,MED-RT
C0142278,C0018801,contraindicated_with_disease,MED-RT
C0142278,C0028754,may_treat,MED-RT
C0142278,C0038454,contraindicated_with_disease,MED-RT
C0142278,C2267227,contraindicated_with_disease,MED-RT
C0142785,C0001122,may_treat,MED-RT
C0142785,C0020598,contraindicated_with_disease,MED-RT
C0142785,C0034063,contraindicated_with_disease,MED-RT
C0142791,C0017168,may_prevent,MED-RT
C0142805,C0018681,may_treat,MED-RT
C0142805,C0220994,may_treat,MED-RT
C0142817,C0004623,may_prevent,MED-RT
C0142817,C0004623,may_treat,MED-RT
C0142817,C0033581,may_treat,MED-RT
C0142817,C0042029,may_treat,MED-RT
C0142874,C0001122,may_treat,MED-RT
C0142874,C0005122,contraindicated_with_disease,MED-RT
C0142874,C0036974,contraindicated_with_disease,MED-RT
C0142915,C0020621,contraindicated_with_disease,MED-RT
C0142915,C0021843,contraindicated_with_disease,MED-RT
C0143083,C0006625,may_treat,MED-RT
C0143083,C0018801,may_treat,MED-RT
C0143083,C0032897,may_treat,MED-RT
C0144004,C0026946,may_prevent,MED-RT
C0144004,C0026946,may_treat,MED-RT
C0144004,C0040259,may_treat,MED-RT
C0144004,C0040262,may_treat,MED-RT
C0144576,C0036220,may_treat,MED-RT
C0145932,C0042963,may_prevent,MED-RT
C0145932,C0042963,may_treat,MED-RT
C0146011,C0024031,may_treat,MED-RT
C0146011,C0027121,may_treat,MED-RT
C0146011,C0037763,may_treat,MED-RT
C0146224,C0027947,contraindicated_with_disease,MED-RT
C0146224,C0040034,contraindicated_with_disease,MED-RT
C0146934,C0010823,may_treat,MED-RT
C0147008,C0011616,may_treat,MED-RT
C0147008,C0016167,may_treat,MED-RT
C0147008,C0033774,may_treat,MED-RT
C0148485,C0035460,may_treat,MED-RT
C0148859,C0024530,may_prevent,MED-RT
C0148859,C0024530,may_treat,MED-RT
C0148859,C0024535,may_treat,MED-RT
C0148859,C0042510,contraindicated_with_disease,MED-RT
C0148932,C0017601,contraindicated_with_disease,MED-RT
C0148932,C0028754,may_treat,MED-RT
C0149304,C0013447,may_treat,MED-RT
C0149304,C0035204,may_treat,MED-RT
C0149304,C0042109,may_treat,MED-RT
C0163055,C0002878,contraindicated_with_disease,MED-RT
C0163055,C0023895,contraindicated_with_disease,MED-RT
C0163055,C0027121,may_treat,MED-RT
C0163055,C0037763,may_treat,MED-RT
C0163557,C0029002,may_treat,MED-RT
C0163657,C0011849,may_treat,MED-RT
C0164386,C0042963,may_prevent,MED-RT
C0164386,C0042963,may_treat,MED-RT
C0164608,C0018801,may_treat,MED-RT
C0164613,C0018916,may_treat,MED-RT
C0164613,C0023443,may_treat,MED-RT
C0164613,C0026764,may_treat,MED-RT
C0164613,C0026948,may_treat,MED-RT
C0164613,C0036220,contraindicated_with_disease,MED-RT
C0164613,C0036220,may_treat,MED-RT
C0164613,C0036920,may_treat,MED-RT
C0164613,C0040028,may_treat,MED-RT
C0164613,C0040034,may_treat,MED-RT
C0164613,C0524910,may_treat,MED-RT
C0164613,C1540912,may_treat,MED-RT
C0164613,C2239176,may_treat,MED-RT
C0164613,C3665596,may_treat,MED-RT
C0164662,C0019693,may_prevent,MED-RT
C0164662,C0019693,may_treat,MED-RT
C0164674,C0040034,contraindicated_with_disease,MED-RT
C0165032,C0022602,may_treat,MED-RT
C0165590,C0017612,may_treat,MED-RT
C0165603,C0024530,may_prevent,MED-RT
C0165603,C0024530,may_treat,MED-RT
C0165603,C0085315,may_prevent,MED-RT
C0165603,C0085315,may_treat,MED-RT
C0165631,C0001144,may_treat,MED-RT
C0166025,C0020598,contraindicated_with_disease,MED-RT
C0167626,C0023895,contraindicated_with_disease,MED-RT
C0167626,C0025322,may_treat,MED-RT
C0167626,C0085215,may_treat,MED-RT
C0168273,C0019087,contraindicated_with_disease,MED-RT
C0168273,C0151744,may_prevent,MED-RT
C0168387,C1263846,may_treat,MED-RT
C0168388,C1263846,may_treat,MED-RT
C0169964,C0006625,may_treat,MED-RT
C0169964,C0018801,may_treat,MED-RT
C0169964,C0032897,contraindicated_with_disease,MED-RT
C0169964,C0032897,may_treat,MED-RT
C0169964,C0041408,may_treat,MED-RT
C0171023,C0005586,may_treat,MED-RT
C0171023,C0036341,may_treat,MED-RT
C0171673,C0009806,may_treat,MED-RT
C0174938,C0003873,may_prevent,MED-RT
C0174938,C0005138,may_treat,MED-RT
C0174938,C0009324,may_treat,MED-RT
C0174938,C0011615,may_treat,MED-RT
C0174938,C0014742,may_treat,MED-RT
C0174938,C0018133,may_prevent,MED-RT
C0174938,C0018133,may_treat,MED-RT
C0174938,C0018939,may_treat,MED-RT
C0174938,C0023418,may_treat,MED-RT
C0174938,C0024141,may_treat,MED-RT
C0174938,C0026769,may_treat,MED-RT
C0174938,C0026946,contraindicated_with_disease,MED-RT
C0174938,C0026948,may_treat,MED-RT
C0174938,C0030807,may_treat,MED-RT
C0174938,C0035435,may_treat,MED-RT
C0174938,C0036202,may_treat,MED-RT
C0174938,C0038013,may_treat,MED-RT
C0174938,C0040147,may_treat,MED-RT
C0174938,C0041327,may_treat,MED-RT
C0174938,C0042164,may_treat,MED-RT
C0175158,C0009324,contraindicated_with_disease,MED-RT
C0175158,C0020649,contraindicated_with_disease,MED-RT
C0175158,C0030920,contraindicated_with_disease,MED-RT
C0175158,C0036341,may_treat,MED-RT
C0205705,C0003615,contraindicated_with_disease,MED-RT
C0205705,C0009806,may_prevent,MED-RT
C0205705,C0009806,may_treat,MED-RT
C0205705,C0011991,contraindicated_with_disease,MED-RT
C0205705,C0021843,contraindicated_with_disease,MED-RT
C0205881,C0002438,may_treat,MED-RT
C0205881,C0010418,may_treat,MED-RT
C0205881,C0021843,contraindicated_with_disease,MED-RT
C0205881,C0033740,may_prevent,MED-RT
C0205881,C0033740,may_treat,MED-RT
C0205909,C0002871,contraindicated_with_disease,MED-RT
C0205909,C0019829,may_treat,MED-RT
C0205909,C0026764,may_treat,MED-RT
C0205909,C0027947,contraindicated_with_disease,MED-RT
C0205909,C0040034,contraindicated_with_disease,MED-RT
C0205992,C0004623,may_prevent,MED-RT
C0205992,C0004623,may_treat,MED-RT
C0205992,C0011991,may_treat,MED-RT
C0205992,C0025295,may_treat,MED-RT
C0205992,C0027947,may_treat,MED-RT
C0205996,C0004623,may_prevent,MED-RT
C0205996,C0004623,may_treat,MED-RT
C0206232,C0019087,contraindicated_with_disease,MED-RT
C0206460,C0019087,contraindicated_with_disease,MED-RT
C0206460,C0040034,contraindicated_with_disease,MED-RT
C0206461,C0019087,contraindicated_with_disease,MED-RT
C0206461,C0040034,contraindicated_with_disease,MED-RT
C0206461,C0151744,may_prevent,MED-RT
C0206599,C0003811,contraindicated_with_disease,MED-RT
C0206599,C0009088,may_treat,MED-RT
C0206599,C0023895,contraindicated_with_disease,MED-RT
C0206599,C0038454,contraindicated_with_disease,MED-RT
C0206599,C0149931,may_treat,MED-RT
C0206599,C1956346,contraindicated_with_disease,MED-RT
C0206679,C0023418,contraindicated_with_disease,MED-RT
C0207214,C0020598,may_treat,MED-RT
C0207773,C0003950,may_treat,MED-RT
C0207773,C0027583,may_treat,MED-RT
C0207773,C0086227,may_treat,MED-RT
C0209227,C0008049,may_treat,MED-RT
C0209227,C0019348,may_prevent,MED-RT
C0209227,C0019348,may_treat,MED-RT
C0209227,C0019360,may_prevent,MED-RT
C0209227,C0019360,may_treat,MED-RT
C0209263,C0003873,may_treat,MED-RT
C0209263,C0029408,may_treat,MED-RT
C0209263,C0038013,may_treat,MED-RT
C0209263,C0038814,may_treat,MED-RT
C0209368,C0018133,may_prevent,MED-RT
C0209368,C0018133,may_treat,MED-RT
C0209368,C0033860,may_treat,MED-RT
C0209738,C0019693,may_prevent,MED-RT
C0209738,C0019693,may_treat,MED-RT
C0210630,C0027947,may_treat,MED-RT
C0213771,C0034067,may_treat,MED-RT
C0215717,C0019087,contraindicated_with_disease,MED-RT
C0216231,C0019829,may_treat,MED-RT
C0216231,C0027947,may_treat,MED-RT
C0216278,C0019087,contraindicated_with_disease,MED-RT
C0216278,C0040034,contraindicated_with_disease,MED-RT
C0216784,C0018801,may_treat,MED-RT
C0216784,C0020428,contraindicated_with_disease,MED-RT
C0216784,C0020649,contraindicated_with_disease,MED-RT
C0216971,C0035220,may_prevent,MED-RT
C0216971,C0035220,may_treat,MED-RT
C0218986,C0002962,contraindicated_with_disease,MED-RT
C0218986,C0003811,contraindicated_with_disease,MED-RT
C0218986,C0007177,contraindicated_with_disease,MED-RT
C0218986,C0008031,contraindicated_with_disease,MED-RT
C0218986,C0009421,contraindicated_with_disease,MED-RT
C0218986,C0018133,contraindicated_with_disease,MED-RT
C0218986,C0019693,may_treat,MED-RT
C0218986,C0026764,may_treat,MED-RT
C0218986,C0042514,contraindicated_with_disease,MED-RT
C0225326,C0009806,may_prevent,MED-RT
C0237417,C0014544,may_treat,MED-RT
C0242430,C0020649,contraindicated_with_disease,MED-RT
C0242430,C0036974,contraindicated_with_disease,MED-RT
C0242430,C0042024,may_treat,MED-RT
C0242518,C0042963,may_treat,MED-RT
C0242524,C0030920,contraindicated_with_disease,MED-RT
C0242524,C0042109,may_treat,MED-RT
C0242525,C0011615,may_treat,MED-RT
C0243237,C0000737,contraindicated_with_disease,MED-RT
C0243237,C0009806,may_prevent,MED-RT
C0243237,C0009806,may_treat,MED-RT
C0243237,C0021843,contraindicated_with_disease,MED-RT
C0243237,C0042963,contraindicated_with_disease,MED-RT
C0244656,C0004245,contraindicated_with_disease,MED-RT
C0244656,C0014544,may_treat,MED-RT
C0244713,C0026769,may_treat,MED-RT
C0244714,C0018916,may_treat,MED-RT
C0244714,C0023443,may_treat,MED-RT
C0244714,C0026764,may_treat,MED-RT
C0244714,C0026769,may_treat,MED-RT
C0244714,C0026948,may_treat,MED-RT
C0244714,C0036220,contraindicated_with_disease,MED-RT
C0244714,C0036220,may_treat,MED-RT
C0244714,C0036920,may_treat,MED-RT
C0244714,C0040028,may_treat,MED-RT
C0244714,C0040034,may_treat,MED-RT
C0244714,C0524910,may_treat,MED-RT
C0244714,C1540912,may_treat,MED-RT
C0244714,C2239176,may_treat,MED-RT
C0244714,C3665596,may_treat,MED-RT
C0244718,C0018801,may_treat,MED-RT
C0244718,C0020428,contraindicated_with_disease,MED-RT
C0244718,C0020649,contraindicated_with_disease,MED-RT
C0245109,C0003873,may_treat,MED-RT
C0245519,C0004623,may_prevent,MED-RT
C0245519,C0004623,may_treat,MED-RT
C0245519,C0342788,contraindicated_with_disease,MED-RT
C0245561,C0003469,may_treat,MED-RT
C0245561,C1269683,may_treat,MED-RT
C0246203,C0023895,contraindicated_with_disease,MED-RT
C0246203,C0085605,contraindicated_with_disease,MED-RT
C0246203,C1956346,may_prevent,MED-RT
C0246203,C1956346,may_treat,MED-RT
C0246330,C0023895,contraindicated_with_disease,MED-RT
C0246330,C0035410,contraindicated_with_disease,MED-RT
C0246415,C0027947,contraindicated_with_disease,MED-RT
C0246415,C0040034,contraindicated_with_disease,MED-RT
C0246719,C0020598,contraindicated_with_disease,MED-RT
C0246836,C0036341,may_treat,MED-RT
C0247025,C0002940,contraindicated_with_disease,MED-RT
C0247025,C0019087,contraindicated_with_disease,MED-RT
C0247025,C0038454,may_prevent,MED-RT
C0247025,C0151744,may_prevent,MED-RT
C0247194,C0036341,may_treat,MED-RT
C0248719,C0018801,may_treat,MED-RT
C0248719,C0020428,contraindicated_with_disease,MED-RT
C0248719,C0020649,contraindicated_with_disease,MED-RT
C0249458,C0008049,may_treat,MED-RT
C0249458,C0019348,may_prevent,MED-RT
C0249458,C0019348,may_treat,MED-RT
C0249458,C0019360,may_prevent,MED-RT
C0249458,C0019360,may_treat,MED-RT
C0249529,C0018099,may_treat,MED-RT
C0249582,C0020502,may_prevent,MED-RT
C0249582,C0020502,may_treat,MED-RT
C0253563,C0019087,contraindicated_with_disease,MED-RT
C0253563,C0038454,contraindicated_with_disease,MED-RT
C0253563,C0040034,contraindicated_with_disease,MED-RT
C0253563,C0151744,may_prevent,MED-RT
C0253907,C0017412,contraindicated_with_disease,MED-RT
C0253907,C0018801,contraindicated_with_disease,MED-RT
C0254119,C0026769,may_treat,MED-RT
C0254215,C0019087,contraindicated_with_disease,MED-RT
C0254216,C0019087,contraindicated_with_disease,MED-RT
C0256103,C0018801,may_prevent,MED-RT
C0257190,C0018801,contraindicated_with_disease,MED-RT
C0257190,C0018801,may_treat,MED-RT
C0257190,C0020649,contraindicated_with_disease,MED-RT
C0257190,C0023895,contraindicated_with_disease,MED-RT
C0257685,C0026764,may_treat,MED-RT
C0257928,C0002871,may_treat,MED-RT
C0259507,C0040034,may_treat,MED-RT
C0262960,C0042029,may_treat,MED-RT
C0278766,C0018099,may_prevent,MED-RT
C0278766,C0018099,may_treat,MED-RT
C0281666,C0036220,may_treat,MED-RT
C0282040,C0008049,may_prevent,MED-RT
C0282040,C0008049,may_treat,MED-RT
C0282040,C0010823,may_prevent,MED-RT
C0282040,C0019348,may_prevent,MED-RT
C0282040,C0019348,may_treat,MED-RT
C0282040,C0019360,may_prevent,MED-RT
C0282040,C0019360,may_treat,MED-RT
C0282040,C0019364,may_treat,MED-RT
C0282042,C0020555,may_treat,MED-RT
C0282042,C0033740,may_prevent,MED-RT
C0282042,C0033740,may_treat,MED-RT
C0282042,C0041228,may_treat,MED-RT
C0282044,C0003811,may_treat,MED-RT
C0282045,C0017168,may_treat,MED-RT
C0282045,C0018834,may_treat,MED-RT
C0282051,C0017601,contraindicated_with_disease,MED-RT
C0282051,C0027404,may_treat,MED-RT
C0282051,C1263846,may_treat,MED-RT
C0282052,C0001261,may_treat,MED-RT
C0282052,C0004623,may_prevent,MED-RT
C0282052,C0004623,may_treat,MED-RT
C0282052,C0014836,may_treat,MED-RT
C0282052,C0018081,may_treat,MED-RT
C0282052,C0023860,may_treat,MED-RT
C0282052,C0025303,may_treat,MED-RT
C0282052,C0036117,may_treat,MED-RT
C0282052,C0042029,may_treat,MED-RT
C0282052,C1527298,may_treat,MED-RT
C0282053,C0033774,may_treat,MED-RT
C0282053,C0035204,may_treat,MED-RT
C0282072,C0019880,may_treat,MED-RT
C0282104,C0003175,may_treat,MED-RT
C0282104,C0003869,may_treat,MED-RT
C0282104,C0004623,may_prevent,MED-RT
C0282104,C0004623,may_treat,MED-RT
C0282104,C0009768,may_treat,MED-RT
C0282104,C0010692,may_treat,MED-RT
C0282104,C0011991,may_treat,MED-RT
C0282104,C0014836,may_treat,MED-RT
C0282104,C0018081,may_treat,MED-RT
C0282104,C0027947,may_treat,MED-RT
C0282104,C0029443,may_treat,MED-RT
C0282104,C0029878,may_treat,MED-RT
C0282104,C0033581,may_treat,MED-RT
C0282104,C0033740,may_prevent,MED-RT
C0282104,C0033740,may_treat,MED-RT
C0282104,C0041466,may_treat,MED-RT
C0282104,C0042029,may_treat,MED-RT
C0282105,C0001144,may_treat,MED-RT
C0282105,C0004623,may_prevent,MED-RT
C0282105,C0004623,may_treat,MED-RT
C0282105,C0040558,may_treat,MED-RT
C0282105,C0085605,contraindicated_with_disease,MED-RT
C0282107,C0028768,may_treat,MED-RT
C0282108,C0010200,may_treat,MED-RT
C0282119,C4316899,may_treat,MED-RT
C0282123,C0003811,contraindicated_with_disease,MED-RT
C0282123,C0018801,contraindicated_with_disease,MED-RT
C0282123,C0027947,contraindicated_with_disease,MED-RT
C0282123,C0030312,contraindicated_with_disease,MED-RT
C0282123,C0040034,contraindicated_with_disease,MED-RT
C0282125,C0001144,may_treat,MED-RT
C0282125,C0001261,may_treat,MED-RT
C0282125,C0004623,may_prevent,MED-RT
C0282125,C0004623,may_treat,MED-RT
C0282125,C0008354,may_treat,MED-RT
C0282125,C0018081,may_treat,MED-RT
C0282125,C0021141,may_treat,MED-RT
C0282125,C0024286,may_treat,MED-RT
C0282125,C0032064,may_treat,MED-RT
C0282125,C0032302,may_treat,MED-RT
C0282125,C0033740,may_prevent,MED-RT
C0282125,C0033740,may_treat,MED-RT
C0282125,C0035793,may_treat,MED-RT
C0282125,C0040592,may_treat,MED-RT
C0282125,C0041466,may_treat,MED-RT
C0282125,C0042029,may_treat,MED-RT
C0282125,C0043167,may_treat,MED-RT
C0282131,C0003873,may_treat,MED-RT
C0282131,C0013390,may_treat,MED-RT
C0282131,C0029408,may_treat,MED-RT
C0282131,C0038013,may_treat,MED-RT
C0282131,C0042109,contraindicated_with_disease,MED-RT
C0282131,C0085636,may_treat,MED-RT
C0282131,C3495559,may_treat,MED-RT
C0282133,C0017601,contraindicated_with_disease,MED-RT
C0282133,C0028754,may_treat,MED-RT
C0282133,C0040517,contraindicated_with_disease,MED-RT
C0282138,C0004245,contraindicated_with_disease,MED-RT
C0282138,C0020649,contraindicated_with_disease,MED-RT
C0282138,C0034063,contraindicated_with_disease,MED-RT
C0282138,C0039240,may_treat,MED-RT
C0282140,C0000737,contraindicated_with_disease,MED-RT
C0282140,C0009806,may_prevent,MED-RT
C0282140,C0009806,may_treat,MED-RT
